objectid,cat1,cat2,cat3,cat3,cat4,cat5
63628,Aviation, Economic, Fighting, industry_manuf, Negotiation, War
243,War, War,NaN,NaN,NaN,NaN
71,Ancient, Civilization, Economic, Negotiation,NaN,NaN
54625,Fighting, Miniatures, Sci_Fi, War,NaN,NaN
124708,Adventure, Exploration, Fantasy, Fighting, Miniatures,NaN
186751,Ancient, card, Dice, Fighting, Miniatures, Mythology
198773,card, Deduction, Party Game, secret_agent,NaN,NaN
39683,Economic, Farming,NaN,NaN,NaN,NaN
21348,Trains, Transportation,NaN,NaN,NaN,NaN
90137,card, Fantasy, Fighting, Sports,NaN,NaN
144592,Economic,NaN,NaN,NaN,NaN,NaN
70323,Dice, Fighting, Adaptation, Sci_Fi,NaN,NaN
199042,card, Fantasy, Adaptation, Adaptation,NaN,NaN
154809,Economic, industry_manuf,NaN,NaN,NaN,NaN
234487,2017 Meeples Choice Nominee, 2018 Cardboard Republic Architect Laurel Nominee, 2018 International Gamers Award - General Strategy: Multi-player Nominee,NaN,NaN,NaN
286096,Civilization,NaN,NaN,NaN,NaN,NaN
172,card, Economic,NaN,NaN,NaN,NaN
55670,Dice, War,NaN,NaN,NaN,NaN
204305,Deduction, murder_mystery, Adaptation, Post-War, Puzzle, secret_agent
123123,card, Fighting,NaN,NaN,NaN,NaN
256226,strategy,NaN,NaN,NaN,NaN,NaN
66188,Renaissance,NaN,NaN,NaN,NaN,NaN
15987,Adventure, Fantasy, Fighting, Horror, Adaptation,NaN
192458,card, City Building, Economic, Sci_Fi,NaN,NaN
166669,card, City Building, Economic,NaN,NaN,NaN
40354,Age of Reason, Bluffing, Negotiation, Political, War,NaN
219513,Animals, Puzzle,NaN,NaN,NaN,NaN
96913,Medieval,NaN,NaN,NaN,NaN,NaN
79828,Age of Reason, War, card, Territory Building, War,NaN
232405,American West,NaN,NaN,NaN,NaN,NaN
105134,Sci_Fi, War,NaN,NaN,NaN,NaN
246784,Deduction,NaN,NaN,NaN,NaN,NaN
257501,card, Fantasy, Fighting,NaN,NaN,NaN
195539,Economic, Mafia, Adaptation,NaN,NaN,NaN
66362,City Building, Economic, Farming,NaN,NaN,NaN
176396,City Building, Environmental,NaN,NaN,NaN,NaN
100901,Adventure,NaN,NaN,NaN,NaN,NaN
256960,Economic, Educational, Negotiation, Political, Post-War, secret_agent
151347,card, Real-time,NaN,NaN,NaN,NaN
50,card, Exploration,NaN,NaN,NaN,NaN
194594,Ancient, Dice, Fantasy, Mythology,NaN,NaN
25417,Fantasy, Medieval, Miniatures, War,NaN,NaN
18833,Adventure, Bluffing, Deduction, Fantasy, Adaptation, Adaptation
138161,Adaptation, Sci_Fi, Space Exploration, Travel,NaN,NaN
63888,card, Civilization,NaN,NaN,NaN,NaN
224783,Fantasy,NaN,NaN,NaN,NaN,NaN
