object_id,game_name,year_published,min_players,max_players,min_playtime,max_playtime,category_1,category_2,category_3,category_4,category_5,category_6,mech_1,mech_2,mech_3,mech_4,mech_5,mech_6,total_votes,users_rated,average,baverage,stddev,complexity,site_views
240463,Tournament Fishing  The Deckbuilding Game,2017,1,4,30,120,Animals, Sports,error,error,error,error,Cooperative Game, Deck, Hand Management, Memory, Push Your Luck,NaN,5,55,8.14594,5.59381,1.35313,2,15375
177823,Devil's Run  Route 666,2016,2,6,30,30,Dice, Fighting, Miniatures, Racing, Transportation, Travel,Dice Rolling, Grid Movement,NaN,NaN,NaN,NaN,0,124,8.08024,5.5938,2.00473,3,30670
19537,Sun of York,2005,2,2,60,60,card, Medieval, War,error,error,error,Card Game, Medieval, Wargame,NaN,NaN,NaN,5,160,6.44226,5.5938,1.46004,2.2857,88769
17895,For Whom the Bell Tolls,1995,1,2,180,180,War, War, War,error,error,error,Hexagon Grid,NaN,NaN,NaN,NaN,NaN,3,104,6.99808,5.59378,1.40924,3.9167,29934
12459,Fortress Berlin,2004,2,2,720,720,War, War,error,error,error,error,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN,2,137,6.55511,5.59376,1.62325,3.6818,41769
21503,S.P.Q.RisiKo!,2005,3,5,120,120,Ancient, Dice, War,error,error,error,Area Movement, Dice Rolling,NaN,NaN,NaN,NaN,8,165,6.4,5.59375,1.35427,2.1333,38324
5548,VII Legio,1982,3,6,60,60,Exploration, Sci_Fi, Space Exploration, Travel,error,error,Area Movement, Paper-and-Pencil, Role Playing, Secret Unit Deployment, Simulation, Team-Based Game,2,84,7.19107,5.59374,1.61428,3.2,19198
164775,Monstrous,2016,2,10,15,30,Dexterity, Ancient, card, Mythology,error,error,Campaign / Battle Card Driven, Hand Management, Modular Board,NaN,NaN,NaN,5,252,6.1529,5.59355,1.5265,1.375,48494
147144,Whacky Wit,2013,2,5,15,15,Collectible, Dice, Maze, Adaptation,error,error,Dice Rolling, Grid Movement, Player Elimination,NaN,NaN,NaN,3,133,6.60256,5.59354,1.77314,2,31377
5573,Outremer,1987,2,2,180,180,Arabian, Fighting, Medieval, War,error,error,Hexagon Grid,NaN,NaN,NaN,NaN,NaN,1,93,6.99247,5.59354,1.31772,2.625,21340
47218,Yikerz!,2009,1,4,15,15,Dexterity,error,error,error,error,error,Action / Dexterity,NaN,NaN,NaN,NaN,NaN,11,315,6.07111,5.59353,1.31712,1.2083,22276
42783,What Price Glory?,2013,2,2,240,240,War, War,error,error,error,error,Area-Impulse, Campaign / Battle Card Driven, Dice Rolling, Simulation,NaN,NaN,2,90,6.92889,5.59353,1.25231,2.0909,38008
232478,New Corp Order,2018,1,4,25,45,strategy, Bluffing, Political, secret_agent, Territory Building,error,Area Majority / Influence, Grid Movement, Hand Management, Modular Board, Set Collection, Worker Placement,6,103,6.96612,5.59351,1.45985,3,21654
181956,R\u00f6misch Pokern,2015,2,6,30,30,Dice, Math,error,error,error,error,Dice Rolling, Push Your Luck,NaN,NaN,NaN,NaN,3,190,6.27842,5.59349,1.1946,1.1667,8998
194307,Zipang Portable,2016,2,6,10,20,Medieval,error,error,error,error,error,Campaign / Battle Card Driven,NaN,NaN,NaN,NaN,NaN,3,101,7.18861,5.59343,1.92839,1.5,14775
1237,Autoscooter,1999,2,8,60,60,Bluffing,error,error,error,error,error,Action Queue, Grid Movement, Simulation, Simultaneous Action Selection,NaN,NaN,3,198,6.20568,5.59342,1.40262,2,31548
41004,Bulge 20,2009,2,2,75,75,War, War,error,error,error,error,Campaign / Battle Card Driven, Dice Rolling, Hexagon Grid, Point to Point Movement,NaN,NaN,4,74,7.30405,5.59339,1.22424,2.3182,33337
38062,Privacy 2,2008,5,12,45,45,Adult, Party Game,error,error,error,error,Mature / Adult, Party Game,NaN,NaN,NaN,NaN,6,148,6.51149,5.59333,1.72021,1.3,11734
10272,Thirty Years War Quad (second edition),1995,1,2,180,180,War, War,error,error,error,error,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN,2,101,6.77178,5.59329,1.4204,2.3,32728
160524,Soccer Blast Pro Soccer Game,2014,1,2,90,180,Sports,error,error,error,error,error,Dice Rolling, Simulation,NaN,NaN,NaN,NaN,1,61,7.95869,5.59327,2.05351,2.4,13517
15878,Rummy,1887,2,6,60,60,card, Adaptation,error,error,error,error,Melding and Splaying, Set Collection,NaN,NaN,NaN,NaN,24,1287,5.72662,5.59327,1.54367,1.4274,73272
249590,Nevsky,2019,1,2,60,360,Medieval, War,error,error,error,error,Dice Rolling, Point to Point Movement, Simulation,NaN,NaN,NaN,4,51,8.48431,5.59325,1.13092,3.4545,39451
397,Diskwars,1999,2,8,90,90,Collectible, Fantasy, War,error,error,error,Action Points, Variable Player Powers,NaN,NaN,NaN,NaN,5,504,5.89308,5.59321,1.6512,2.383,93961
224675,Frutti di Mare  Veni,2017,2,6,30,90,Dice, Fighting, Humor,error,error,error,Dice Rolling, Grid Movement, Player Elimination,NaN,NaN,NaN,4,147,6.61156,5.5932,1.76252,2.25,12830
305,Der Fliegende Holl\u00e4nder,1992,3,6,60,60,Bluffing, War,error,error,error,error,Stock Holding, Trading,NaN,NaN,NaN,NaN,4,311,5.98264,5.59317,1.3672,2.4762,33889
920,Ultimate Outburst,1999,0,0,60,60,Party Game,error,error,error,error,error,Party Game,NaN,NaN,NaN,NaN,NaN,4,250,6.1715,5.59316,1.38602,1.3704,31816
156108,Regular Show Fluxx,2014,2,6,25,25,card, Adaptation,error,error,error,error,Hand Management,NaN,NaN,NaN,NaN,NaN,2,270,6.139,5.59315,1.51194,1.4444,13192
20847,Take Stock,2006,2,6,60,60,card, Economic,error,error,error,error,Commodity Speculation, Hand Management, Stock Holding,NaN,NaN,NaN,11,527,5.86095,5.59313,1.27502,1.7922,60217
226860,Battle Kittens,2017,2,6,15,15,card,error,error,error,error,error,Card Drafting,NaN,NaN,NaN,NaN,NaN,2,222,6.19354,5.59308,1.23674,1.2,16485
41006,Ordo pur,2009,2,2,45,45,strategy,error,error,error,error,error,Grid Movement,NaN,NaN,NaN,NaN,NaN,8,72,7.34097,5.59289,1.43779,2.875,25545
7922,The 6 Days of Glory,1997,1,3,180,180,War, War,error,error,error,error,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN,3,125,6.6712,5.59282,1.44415,2.9524,46202
140236,Convert,2014,1,2,10,10,strategy, Puzzle,error,error,error,error,Area Majority / Influence, Pattern Building, Tile Placement,NaN,NaN,NaN,4,98,7.04061,5.59282,1.50822,2.1429,14455
246938,Wonderland,2018,2,2,15,30,card,error,error,error,error,error,Area Majority / Influence, Hand Management,NaN,NaN,NaN,NaN,4,193,6.32953,5.59281,1.26753,2,17411
241590,Smart10,2017,2,8,20,120,Trivia,error,error,error,error,error,Push Your Luck,NaN,NaN,NaN,NaN,NaN,2,93,7.25548,5.59277,1.46686,1.5,5899
42688,Hibernia,2009,3,4,40,40,Ancient, Medieval, War,error,error,error,Area Movement, Dice Rolling,NaN,NaN,NaN,NaN,10,219,6.22507,5.59275,1.44178,1.7333,51039
2472,Grave Robbers From Outer Space,2001,2,6,20,40,card, Horror, Humor, Adaptation, Sci_Fi,error,Card Game, Horror, Humor, Movies / TV / Radio theme, Science Fiction,NaN,13,958,5.80157,5.5927,1.64458,1.4878,68173
7089,Panzer Grenadier  Afrika Korps,2002,2,2,60,60,War, War,error,error,error,error,Dice Rolling, Hexagon Grid, Modular Board, Secret Unit Deployment, Simulation,NaN,5,172,6.30756,5.59268,2.15666,2.625,50012
244795,Lost Cities  To Go,2018,2,2,20,20,KOSMOS,error,error,error,error,error,Push Your Luck, Set Collection,NaN,NaN,NaN,NaN,2,126,6.59167,5.59267,1.21405,1.2,21947
125675,Doctor Who  The Card Game,2012,2,4,20,60,card, Adaptation, Sci_Fi,error,error,error,Area Majority / Influence, Card Drafting, Hand Management, Secret Unit Deployment, Take That,NaN,12,787,5.77717,5.59263,1.53448,1.9559,124485
2627,Poisson d'Avril,1983,2,6,120,120,Fantasy,error,error,error,error,error,Fantasy,NaN,NaN,NaN,NaN,NaN,24,122,6.71624,5.59255,3.52096,4.1538,55365
230785,Dream Catchers,2019,2,4,25,35,strategy, card, Puzzle,error,error,error,Cooperative Game, Grid Movement, Hand Management,NaN,NaN,NaN,2,103,6.94709,5.59253,1.29822,2,14256
15911,San Ta Si,2005,2,2,15,15,strategy, Puzzle,error,error,error,error,Abstract Strategy, Puzzle,NaN,NaN,NaN,NaN,3,178,6.28736,5.59252,1.29288,1.7778,21188
18529,The Penguin Book of Card Games,1979,2,0,5,5,Book, card, Memory,error,error,error,Auction/Bidding, Betting and Bluffing, Hand Management, Memory, Pattern Building, Set Collection,0,45,8.34444,5.59249,1.60839,2,14804
260786,Unstable Unicorns  Chaos,2019,2,8,30,45,card, Humor, Party Game,error,error,error,Hand Management, Set Collection, Take That,NaN,NaN,NaN,0,97,7.31124,5.59249,1.56479,2,9504
228378,End of the Trail,2018,1,4,20,40,American West, Bluffing, card, Exploration,error,error,Auction/Bidding, Hand Management, Memory, Modular Board, Push Your Luck, Set Collection,7,125,6.98544,5.59248,1.65871,2,20564
461,Freibeuter,1998,2,4,60,60,Economic, War, Pirates,error,error,error,Area Majority / Influence, Hand Management,NaN,NaN,NaN,NaN,6,183,6.29536,5.59247,1.184,1.85,26230
113971,La Bataille de Dresde,2015,2,8,720,720,War, War,error,error,error,error,Hexagon Grid,NaN,NaN,NaN,NaN,NaN,2,56,8.53571,5.59243,1.45423,4.1111,51853
177210,Eight Epics Kanai Factory Limited Edition,2015,1,8,15,60,Dice, Fantasy, Fighting,error,error,error,Cooperative Game, Dice Rolling, Variable Player Powers,NaN,NaN,NaN,11,382,5.93632,5.5924,1.48433,2,59739
196698,Gruff  Clash of the Battle Goats,2017,2,2,20,45,card, Fantasy, Fighting,error,error,error,Campaign / Battle Card Driven, Variable Player Powers,NaN,NaN,NaN,NaN,0,93,7.27957,5.59235,1.72655,3,11514
255516,Brave Little Belgium,2019,1,2,30,60,War, War,error,error,error,error,Chit-Pull System, Dice Rolling, Point to Point Movement, Simulation,NaN,NaN,3,66,7.85182,5.5923,1.40266,2.1429,27277
39406,Talat,2008,2,3,33,33,strategy,error,error,error,error,error,Abstract Strategy,NaN,NaN,NaN,NaN,NaN,12,194,6.28101,5.59229,1.32295,2,30329
148744,City of Zombies,2013,1,6,30,30,Dice, Educational, Math, Puzzle, Zombies,error,Cooperative Game, Dice Rolling,NaN,NaN,NaN,NaN,3,113,6.80283,5.59225,1.72836,1.5,18219
138728,Domus Domini,2015,2,6,120,120,Medieval, Religious,error,error,error,error,Worker Placement,NaN,NaN,NaN,NaN,NaN,4,125,6.6292,5.59224,1.35678,2.5,26848
