objectid,name,yearpublished,minplayers,maxplayers,minplaytime,maxplaytime
204583,\u05e7\u05d9\u05e0\u05d2\u05d3\u05d5\u05de\u05d9\u05e0\u05d5,2016,2,4,15,20
181304,Mysterium,2015,2,7,42,42
228341,Pulsar 2849,2017,2,4,60,90
172818,Above and Below,2015,2,4,90,90
176734,The Manhattan Project  Energy Empire,2016,1,5,60,120
158600,\u82b1\u898b\u5c0f\u8def,2013,2,2,15,15
118,Modern Art,1992,3,5,45,45
160477,Onitama,2014,2,2,15,20
17392,Here I Stand  Wars of the Reformation 1517-1555,2006,2,6,180,360
77130,Sid Meier's Civilization  The Board Game,2010,2,4,120,240
197376,Charterstone,2017,1,6,45,75
45315,Dungeon Lords,2009,2,4,90,90
40692,Small World,2009,2,5,40,80
59959,Letters from Whitechapel,2011,2,6,60,60
2655,Hive,2000,2,2,20,20
41114,Der Widerstand,2009,5,10,30,30
163745,Star Wars  Armada,2015,2,2,120,120
119890,Agricola  All Creatures Big and Small,2012,2,2,30,30
139976,Cthulhu Wars,2015,2,4,90,120
136888,Bruges,2013,2,4,60,60
25292,Merchants & Marauders,2010,2,4,180,180
264220,Tainted Grail  The Fall of Avalon,2019,1,4,60,120
206718,Ethnos,2017,2,6,45,60
254640,Just One,2018,3,7,20,20
209685,Century  Spice Road,2017,2,5,30,45
37046,Ghost Stories,2008,1,4,60,60
176920,Mission  Red Planet (Second Edition),2015,2,6,45,90
46213,Telestrations,2009,4,8,30,30
232832,Century  Golem Edition,2017,2,5,30,45
54,Tikal,1999,2,4,90,90
143693,Glass Road,2013,1,4,20,80
39856,Dixit,2008,3,6,30,30
5,Acquire,1964,2,6,90,90
182134,Evolution  Climate,2016,2,6,60,60
21241,Neuroshima Hex! 3.0,2006,1,4,30,30
70919,Takenoko,2011,2,4,45,45
163967,Tiny Epic Galaxies,2015,1,5,30,45
1,Die Macher,1986,3,5,240,240
140934,Arboretum,2015,2,4,30,30
33160,Endeavor,2009,3,5,90,90
25554,Notre Dame,2007,2,5,45,75
129622,Love Letter,2012,2,4,20,20
266810,Paladins of the West Kingdom,2019,1,4,90,120
36932,Claustrophobia,2009,2,2,45,45
31594,In the Year of the Dragon,2007,2,5,75,100
40765,Clash of Cultures,2012,2,4,180,240
227789,Heaven & Ale,2017,2,4,60,90
8217,San Juan,2004,2,4,45,60
2653,Survive  Escape from Atlantis!,1982,2,4,45,60
15985,Blood Bowl  Living Rulebook,2004,2,2,120,120
24480,The Pillars of the Earth,2006,2,4,90,120
262712,Res Arcana,2019,2,4,20,60
121,Frank Herbert's Dune,1979,2,6,60,180
9217,Saint Petersburg,2004,2,4,45,60
63628,The Manhattan Project,2012,2,5,120,120
243,Advanced Squad Leader Rule Book,1985,2,2,120,480
71,Civilization,1980,2,7,360,360
54625,Space Hulk (third edition),2009,2,2,60,60
124708,Mice and Mystics,2012,1,4,60,90
186751,Mythic Battles  Pantheon,2017,2,4,60,90
