objectid,name,category1,category2,category3,category4,category5,category6
2198,Ergo,strategy,error,error,error,error,error
5619,The Fastest Gun,American West, Economic, Fighting,error,error,error
286829,Uxmal,Ancient,error,error,error,error,error
40417,Der Palast von Eschnapur,Ancient,error,error,error,error,error
6003,Donau Front,War, War,error,error,error,error
27618,Classic Statis Pro Baseball,Dice, Sports,error,error,error,error
2503,Godsfire,Political, Sci_Fi, War,error,error,error
17748,Tic Tac Doh!,strategy,error,error,error,error,error
35163,Swashbuckled!,War, Pirates,error,error,error,error
72766,SmileyFace,card,error,error,error,error,error
165552,Shark Mania,Childrens Game, Electronic, Pirates, Real-time,error,error
5295,Tactics (25th Anniversary Edition),War, War,error,error,error,error
12633,Mall World,Economic, Territory Building,error,error,error,error
16253,Montanara,card, Fantasy,error,error,error,error
1427,GRO  Battle for the Petri Dish,strategy,error,error,error,error,error
192635,Life Is Life,Animals, card,error,error,error,error
154180,Bania,Mattel,error,error,error,error,error
219359,Solaris,Sci_Fi,error,error,error,error,error
7851,Counting Zzzzs,Animals, card, Humor, Memory,error,error
3844,Pez,card, Collectible,error,error,error,error
40388,Dictator. Control,card, Collectible, Dice, War,error,error
652,X.net,Economic,error,error,error,error,error
254227,Crazy Eggz,Dexterity, Childrens Game, Dice, Humor, Party Game,error
129465,Black Stories 8,card, Deduction, Horror, Humor, murder_mystery, Party Game
182634,Qwordie,Trivia, Word Game,error,error,error,error
9418,Eastwall  Battles for the Dnepr,War, War,error,error,error,error
113513,Pathagon,strategy,error,error,error,error,error
83278,Captain Cool,Bluffing, card, Adaptation,error,error,error
9474,Flying Pirates,Dexterity, Childrens Game, Pirates,error,error,error
62979,Alchemicus  Noctis,card, Economic, industry_manuf,error,error,error
26052,Canossa,strategy, Medieval,error,error,error,error
192245,Shadow Master,Deduction,error,error,error,error,error
17792,ZigZag,strategy,error,error,error,error,error
6466,Sunken Treasure,Adventure, Childrens Game, Dice, Maze, War, Pirates
66888,Dizios,strategy, Childrens Game, Educational,error,error,error
132616,Deutschland  Finden Sie Minden? Pocket Edition,Educational, Memory, Trivia,error,error,error
78647,Lexigo,Word Game,error,error,error,error,error
29018,Take It!,card, Memory, Number,error,error,error
6005,Korea  The Mobile War,War, War,error,error,error,error
19392,Fruit Bandits,Bluffing, card,error,error,error,error
18840,Wissens-Spektrum,Trivia,error,error,error,error,error
155157,Baby Blues,card, Humor, Negotiation, Party Game,error,error
39087,The Chronicles of Narnia  Prince Caspian \u2013 The Shield of Courage Card Game,card, Childrens Game, Fantasy, Adaptation, Adaptation,error
3669,Moon Base Clavius,Sci_Fi, War,error,error,error,error
7131,Napoleon's First Battles,War, War,error,error,error,error
127317,Thousand Islands Railway,Trains,error,error,error,error,error
5837,Steam Tunnel,strategy,error,error,error,error,error
8388,Napoleon's Later Battles I,War, War,error,error,error,error
1211,Up the River,Childrens Game, War, Racing, Space Exploration,error,error
7267,Warlords  China in Disarray,War, Political, Territory Building, War,error,error
9284,Treasure Falls,Dexterity, Childrens Game, Pirates,error,error,error
28388,Some Poles Apart  The Battle of the Westerplatte,War, War,error,error,error,error
62374,Lorrein,strategy, Dexterity, Ancient, Animals, City Building, Civilization
66457,House of Spirits,card, Exploration, Horror,error,error,error
8409,Red Baron,Aviation, War, War,error,error,error
205604,Tricksters,card,error,error,error,error,error
13912,The Sedan Campaign,War,error,error,error,error,error
5030,No Respect  Rodney Dangerfield's Game,Adaptation, Number,error,error,error,error
1866,Brainstorm,Party Game, Trivia, Word Game,error,error,error
36238,Timestreams  Deck 2 \u2013 Medieval vs. Modern Day,card, Fantasy, Sci_Fi,error,error,error
2317,M\u00fcckenstich,card,error,error,error,error,error
243343,Dino Battle,Animals, card, Prehistoric,error,error,error
2320,Worldbeater,Racing, Transportation,error,error,error,error
181089,Raben schubsen,Animals, Childrens Game, Deduction,error,error,error
254546,Lost Galaxy  The Intergalactic Card Game,Fantasy, Sci_Fi,error,error,error,error
4237,El Alamein,War, War,error,error,error,error
111327,Black Stories  Christmas Edition,card, Deduction, Horror, Humor, murder_mystery, Party Game
12317,Brouhaha,Animals, Party Game,error,error,error,error
24387,Dilbert  The Board Game,Adaptation, Humor,error,error,error,error
3276,Skittles,Dexterity,error,error,error,error,error
116972,Mini-Taurus,Mythology,error,error,error,error,error
7183,Weapons & Warriors  Lashout Launcher,Dexterity, Medieval,error,error,error,error
1956,Game of Dracula,Childrens Game, Horror, Adaptation,error,error,error
22790,Cephalopod,strategy, Dice, Number, Print & Play, Territory Building,error
99038,Monkeyland,Childrens Game, Memory,error,error,error,error
2380,Gridiron Fantasy Football,card, Collectible, Fantasy, Sports,error,error
8252,Lods 1914  Blitzkrieg in the East,War, War,error,error,error,error
5201,Trailblazer,Economic, Sci_Fi, Space Exploration,error,error,error
16474,Gei\u00dflein,Animals, Childrens Game, Memory, Mythology, Number,error
191512,Moono,card,error,error,error,error,error
32245,Fortuna,Economic, Negotiation,error,error,error,error
1665,Airport,Aviation, Economic, Transportation,error,error,error
240423,Marvel Contest of Champions  Battlerealm,Adaptation, Dice, Fighting,error,error,error
46800,Tens\u00e3o Total,Adventure, War,error,error,error,error
8526,Claymania,Deduction,error,error,error,error,error
1785,King's Bounty,Fantasy, Fighting,error,error,error,error
2151,Stomp!,Fantasy, Fighting,error,error,error,error
13378,Mukden  Climax of the Russo-Japanese War,War, War,error,error,error,error
97339,Compa\u00f1eros,card,error,error,error,error,error
9319,The Train Game,Dice, Trains,error,error,error,error
108554,Super Showdown,Bluffing, card, Adaptation,error,error,error
5019,Buggo,Childrens Game, Memory,error,error,error,error
