objectid,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic
199561,Card Drafting, Dice Rolling, Pattern Building, Set Collection,NaN,NaN
82222,Action Points, Dice Rolling, Grid Movement, Map Addition, Modular Board, Pick-up and Deliver
25021,Hand Management, Point to Point Movement, Secret Unit Deployment,NaN,NaN,NaN
244522,Dice Rolling, Paper-and-Pencil,NaN,NaN,NaN,NaN
148228,Card Drafting, Contracts, Set Collection,NaN,NaN,NaN
9216,Auction/Bidding, Auction: Once Around, Hand Management, Push Your Luck,NaN,NaN
215,Betting and Bluffing, Hand Management, Ladder Climbing, Team-Based Game,NaN,NaN
223321,Cooperative Game, Solo / Solitaire Game, Storytelling,NaN,NaN,NaN
129437,Deck, Events, Semi-Cooperative Game, Solo / Solitaire Game, Variable Setup,NaN
146886,Area Majority / Influence, Automatic Resource Growth, Dice Rolling, Hand Management, Income, Simultaneous Action Selection
176189,Cooperative Game, Dice Rolling, Modular Board, Variable Player Powers,NaN,NaN
463,Hand Management, Take That,NaN,NaN,NaN,NaN
188,Enclosure,NaN,NaN,NaN,NaN,NaN
555,Auction/Bidding, Grid Coverage, Tile Placement,NaN,NaN,NaN
27833,Auction/Bidding, Loans, Network and Route Building, Pick-up and Deliver, Tile Placement,NaN
9209,Card Drafting, Hand Management, Network and Route Building, Set Collection,NaN,NaN
128621,Hand Management, Turn Order: Progressive, Worker Placement,NaN,NaN,NaN
182631,Card Drafting, Deck, Hand Management, Take That,NaN,NaN
12,Auction/Bidding, Auction: Once Around, Constrained Bidding, Push Your Luck, Set Collection,NaN
54998,Area Majority / Influence, Area Movement, Auction/Bidding, Card Drafting, Dice Rolling, Set Collection
822,Area Majority / Influence, Map Addition, Tile Placement,NaN,NaN,NaN
109276,Action Points, Commodity Speculation, Variable Phase Order, Worker Placement,NaN,NaN
20551,Action Queue, Area Majority / Influence, Area Movement, Auction/Bidding, Cube Tower, Simultaneous Action Selection
31481,Dice Rolling, Events, Real-Time, Relative Movement, Team-Based Game, Tile Placement
245638,Card Drafting, Dice Rolling, End Game Bonuses, Set Collection, Worker Placement with Dice Workers,NaN
220877,Dice Rolling, Tile Placement, Worker Placement, Worker Placement with Dice Workers,NaN,NaN
7854,Grid Movement, Pattern Building,NaN,NaN,NaN,NaN
192291,Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection,NaN,NaN
285774,Cooperative Game, Solo / Solitaire Game, Variable Player Powers,NaN,NaN,NaN
421,Auction/Bidding, Market, Network and Route Building, Ownership, Stock Holding, Tile Placement
156129,Storytelling, Team-Based Game, Traitor Game,NaN,NaN,NaN
176494,Auction/Bidding, Catch the Leader, Set Collection, Tile Placement,NaN,NaN
155873,Auction: Turn Order Until Pass, Income, Market, Network and Route Building,NaN,NaN
140620,Card Drafting, Deck, Hand Management, Point to Point Movement, Worker Placement,NaN
154203,Card Drafting, Contracts, Drafting, Hand Management, Take That, Variable Player Powers
188834,Hidden Roles, Player Elimination, Team-Based Game, Traitor Game, Voting,NaN
19857,Follow, Hand Management, Set Collection, Variable Phase Order,NaN,NaN
24181,Advantage Token, Area Majority / Influence, Area Movement, Investment, Ownership, Rondel
198994,Card Drafting, Deck, Hand Management, Take That,NaN,NaN
97207,Auction/Bidding, Hand Management, Simultaneous Action Selection, Worker Placement,NaN,NaN
127060,Dice Rolling, Set Collection, Worker Placement, Worker Placement with Dice Workers,NaN,NaN
218417,Card Drafting, Cooperative Game, Deck, Hand Management, Variable Phase Order, Variable Player Powers
27708,Action/Event, Area Majority / Influence, Campaign / Battle Card Driven, Hand Management,NaN,NaN
22545,Area Majority / Influence, Set Collection, Turn Order: Claim Action, Worker Placement, Worker Placement,NaN
108745,Card Drafting, Dice Rolling, Hand Management, Take That,NaN,NaN
38453,Action Queue, Area Movement, Cooperative Game, Elapsed Real Time Ending, Hand Management, Simultaneous Action Selection
203420,Cooperative Game,NaN,NaN,NaN,NaN,NaN
193037,Action Points, Area Movement, Cooperative Game, Dice Rolling, Hand Management, Push Your Luck
92828,Simultaneous Action Selection, Storytelling, Team-Based Game, Voting,NaN,NaN
93260,Dice Rolling, Grid Movement, Hand Management, Variable Player Powers,NaN,NaN
234,Area Majority / Influence, Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement, Simulation,NaN
59294,Area Majority / Influence, Auction/Bidding, Grid Movement, Modular Board, Simultaneous Action Selection, Variable Player Powers
199478,Hand Management, Modular Board, Race, Simulation, Simultaneous Action Selection,NaN
146439,Campaign / Battle Card Driven, Dice Rolling, Grid Movement, Modular Board, Variable Player Powers,NaN
3,Area Majority / Influence, Hand Management, Set Collection, Tile Placement,NaN,NaN
66589,Advantage Token, Area Movement, Rondel,NaN,NaN,NaN
181279,Hidden Movement, Point to Point Movement, Secret Unit Deployment, Team-Based Game, Variable Player Powers,NaN
48726,Area Majority / Influence, Card Drafting, Dice Rolling, Worker Placement with Dice Workers,NaN,NaN
101721,Dice Rolling, Grid Movement, Simultaneous Action Selection, Variable Player Powers,NaN,NaN
19777,Area Majority / Influence, Auction/Bidding, Pick-up and Deliver, Stock Holding,NaN,NaN
189932,Area Majority / Influence, Deck, Take That,NaN,NaN,NaN
222509,Area Majority / Influence, Area Movement, Hand Management, Variable Player Powers, Worker Placement,NaN
13122,Grid Coverage, Modular Board, Tile Placement, Trading,NaN,NaN
169426,Card Drafting, Dice Rolling, Set Collection, Variable Player Powers,NaN,NaN
760,Hand Management, Set Collection,NaN,NaN,NaN,NaN
54138,Area Majority / Influence, Area Movement, Rondel, Stock Holding,NaN,NaN
217372,Card Drafting, Deck, Grid Movement, Hand Management, Modular Board, Race
144344,Area Majority / Influence, Card Drafting, Deck, Hand Management, Set Collection,NaN
172081,Action Points, Cooperative Game, Dice Rolling, Grid Movement, Modular Board, Solo / Solitaire Game
204583,Card Drafting, Pattern Building, Tile Placement,NaN,NaN,NaN
181304,Communication Limits, Cooperative Game, Hand Management, Pattern Recognition,NaN,NaN
228341,Dice Rolling, Point to Point Movement, Variable Player Powers, Worker Placement with Dice Workers,NaN,NaN
172818,Action Points, Card Drafting, Deck, Dice Rolling, Narrative Choice / Paragraph, Set Collection
176734,Dice Rolling, Worker Placement,NaN,NaN,NaN,NaN
158600,Area Majority / Influence, Card Drafting, Force Commitment, Hand Management, I Cut,NaN
118,Auction/Bidding, Auction: English, Auction: Once Around, Auction: Sealed Bid, Auction: Turn Order Until Pass, Commodity Speculation
160477,Grid Movement, Hand Management,NaN,NaN,NaN,NaN
17392,Campaign / Battle Card Driven, Dice Rolling, Hand Management, Point to Point Movement, Variable Player Powers,NaN
77130,Card Drafting, Deck, Grid Movement, Hand Management, Modular Board, Rock-Paper-Scissors
197376,Card Drafting, Hand Management, Legacy Game, Solo / Solitaire Game, Worker Placement,NaN
45315,Action Queue, Hand Management, Simultaneous Action Selection, Tile Placement, Worker Placement,NaN
40692,Area Majority / Influence, Area Movement, Dice Rolling, Increase Value of Unchosen Resources, Variable Player Powers, Victory Points as a Resource
59959,Hidden Movement, Memory, Point to Point Movement, Secret Unit Deployment, Team-Based Game,NaN
2655,Grid Movement, Hexagon Grid, Tile Placement,NaN,NaN,NaN
41114,Hidden Roles, Memory, Simultaneous Action Selection, Team-Based Game, Traitor Game, Voting
163745,Action Queue, Critical Hits and Failures, Dice Rolling, Variable Player Powers,NaN,NaN
119890,Automatic Resource Growth, Enclosure, Tile Placement, Worker Placement,NaN,NaN
139976,Action Points, Area Majority / Influence, Area Movement, Dice Rolling, Variable Player Powers,NaN
136888,Dice Rolling, Hand Management,NaN,NaN,NaN,NaN
25292,Action Points, Area Movement, Dice Rolling, Pick-up and Deliver, Variable Player Powers,NaN
264220,Area Movement, Cooperative Game, Deck, Dice Rolling, Modular Board, Narrative Choice / Paragraph
206718,Area Majority / Influence, Card Drafting, Hand Management, Set Collection,NaN,NaN
254640,Communication Limits, Cooperative Game,NaN,NaN,NaN,NaN
209685,Action Retrieval, Card Drafting, Contracts, Deck, Hand Management, Increase Value of Unchosen Resources
37046,Cooperative Game, Dice Rolling, Grid Movement, Modular Board, Solo / Solitaire Game, Variable Player Powers
176920,Action Retrieval, Area Majority / Influence, Area Movement, Hand Management, Simultaneous Action Selection, Take That
46213,Line Drawing, Paper-and-Pencil,NaN,NaN,NaN,NaN
232832,Card Drafting, Deck, Hand Management, Set Collection,NaN,NaN
54,Action Points, Area Majority / Influence, Auction/Bidding, Grid Movement, Hexagon Grid, Map Addition
143693,Card Drafting, Set Collection, Simultaneous Action Selection, Tile Placement, Variable Phase Order,NaN
39856,Communication Limits, Simultaneous Action Selection, Storytelling, Targeted Clues, Voting,NaN
5,Hand Management, Investment, Market, Ownership, Stock Holding, Tile Placement
182134,Action Points, Hand Management, Push Your Luck, Secret Unit Deployment, Simulation, Take That
21241,Hand Management, Hexagon Grid, Player Elimination, Tile Placement, Variable Player Powers,NaN
70919,Action Points, Dice Rolling, Grid Movement, Modular Board, Network and Route Building, Pattern Building
163967,Area Majority / Influence, Card Drafting, Dice Rolling, End Game Bonuses, Follow, Race
1,Area Majority / Influence, Auction/Bidding, Dice Rolling, Hand Management, Simultaneous Action Selection,NaN
140934,Hand Management, Set Collection, Tile Placement,NaN,NaN,NaN
33160,Area Majority / Influence, Card Drafting, Hand Management, Set Collection,NaN,NaN
25554,Area Majority / Influence, Card Drafting, Point to Point Movement,NaN,NaN,NaN
129622,Hand Management, Player Elimination,NaN,NaN,NaN,NaN
266810,Hand Management, Worker Placement, Worker Placement,NaN,NaN,NaN
36932,Dice Rolling, Grid Movement, Modular Board, Variable Player Powers,NaN,NaN
31594,Action Drafting, Events, Hand Management, Variable Phase Order,NaN,NaN
40765,Action Points, Area Majority / Influence, Dice Rolling, Grid Movement, Hand Management, Modular Board
227789,Highest-Lowest Scoring, Once-Per-Game Abilities, Rondel, Tile Placement, Time Track,NaN
8217,Hand Management, Set Collection, Variable Phase Order,NaN,NaN,NaN
2653,Action Points, Dice Rolling, Grid Movement, Map Reduction, Memory, Modular Board
15985,Dice Rolling, Grid Movement, Variable Player Powers,NaN,NaN,NaN
24480,Events, Worker Placement, Worker Placement,NaN,NaN,NaN
262712,Card Drafting, Hand Management, Take That, Variable Player Powers,NaN,NaN
121,Alliances, Area Majority / Influence, Area Movement, Auction/Bidding, Hand Management, Team-Based Game
9217,Card Drafting, Set Collection,NaN,NaN,NaN,NaN
63628,Drafting, Race, Take That, Worker Placement, Worker Placement,NaN
243,Critical Hits and Failures, Dice Rolling, Hexagon Grid, Line of Sight, Modular Board, Scenario / Mission / Campaign Game
71,Area Majority / Influence, Area Movement, Hand Management, Set Collection, Tech Trees / Tech Tracks, Trading
54625,Action Points, Dice Rolling, Grid Movement, Modular Board,NaN,NaN
124708,Area Movement, Cooperative Game, Dice Rolling, Role Playing, Storytelling, Variable Player Powers
186751,Area Movement, Campaign / Battle Card Driven, Card Drafting, Cooperative Game, Dice Rolling, Hand Management
198773,Communication Limits, Memory, Push Your Luck, Team-Based Game,NaN,NaN
39683,Card Drafting, Contracts, Set Collection,NaN,NaN,NaN
21348,Card Drafting, Hand Management, Network and Route Building, Point to Point Movement, Set Collection,NaN
