objectid,name,boardgamemechanic1,boardgamemechanic2,boardgamemechanic3,boardgamemechanic4,boardgamemechanic5,boardgamemechanic6
239188,Chronicles of Crime,Cooperative Game, Scenario / Mission / Campaign Game, Storytelling, Variable Player Powers,NaN,NaN
70149,Ora et Labora,Increase Value of Unchosen Resources, Modular Board, Network and Route Building, Worker Placement, Worker Placement,NaN
14105,Commands and Colors  Ancients,Campaign / Battle Card Driven, Command Cards, Dice Rolling, Hand Management, Hexagon Grid, Modular Board
221194,Dinosaur Island,Action Points, Dice Rolling, Set Collection, Tile Placement, Worker Placement,NaN
233398,Endeavor  Age of Sail,Area Majority / Influence, Card Drafting, Set Collection,NaN,NaN,NaN
123260,Suburbia,Card Drafting, Hexagon Grid, Set Collection, Tile Placement,NaN,NaN
77423,The Lord of the Rings  The Card Game,Cooperative Game, Hand Management, Solo / Solitaire Game, Variable Player Powers,NaN,NaN
194655,Santorini,Square Grid, Three Dimensional Movement, Variable Player Powers,NaN,NaN,NaN
54043,Jaipur,Card Drafting, Hand Management, Score-and-Reset Game, Set Collection,NaN,NaN
43015,Hansa Teutonica,Action Points, Area Majority / Influence, End Game Bonuses, Network and Route Building, Ownership, Tech Trees / Tech Tracks
126042,Nations,Automatic Resource Growth, Card Drafting, Events, Turn Order: Pass Order, Variable Player Powers, Worker Placement
4098,Age of Steam  Deluxe Edition,Auction/Bidding, Catch the Leader, Dice Rolling, Loans, Network and Route Building, Player Elimination
175640,Vinhos Deluxe Edition,Area Majority / Influence, Variable Phase Order, Worker Placement,NaN,NaN,NaN
10630,Memoir '44,Area Majority / Influence, Campaign / Battle Card Driven, Command Cards, Dice Rolling, Grid Movement, Hand Management
91,Paths of Glory,Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement,NaN,NaN,NaN
233867,\u6b61\u8fce\u4f86\u5230,Paper-and-Pencil, Pattern Building,NaN,NaN,NaN,NaN
224037,Codenames  Duet,Communication Limits, Cooperative Game, Push Your Luck, Team-Based Game,NaN,NaN
39463,Cosmic Encounter  42nd Anniversary Edition,Alliances, Auction/Bidding, Hand Management, Negotiation, Race, Simultaneous Action Selection
171131,Captain Sonar,Grid Movement, Hidden Movement, Line Drawing, Real-Time, Role Playing, Secret Unit Deployment
155068,Arcadia Quest,Dice Rolling, Grid Movement, Modular Board, Take That, Variable Player Powers,NaN
21050,Combat Commander  Europe,Campaign / Battle Card Driven, Hexagon Grid, Simulation, Variable Phase Order,NaN,NaN
195421,Near and Far,Card Drafting, Dice Rolling, Narrative Choice / Paragraph, Network and Route Building, Set Collection, Storytelling
