objectid,publisher,publisher,publisher,publisher,publisher,publisher
176189,CMON Limited, Guillotine Games, ADC Blackfire Entertainment, Arclight, Asterion Press, Edge Entertainment
463,Wizards of the Coast,NaN,NaN,NaN,NaN,NaN
188,(Public Domain), (Self-Published), (Unknown), 3M, Alga, Ariel Productions Ltd
555,alea, Ravensburger Spieleverlag GmbH, uplay.it edizioni, Excalibur (Board Game), Korea Boardgames co., Lacerta
27833,Mayfair Games, Devir, Edge Entertainment, Hobby World, Phalanx Games B.V., Phalanx Games Deutschland
9209,Days of Wonder, ADC Blackfire Entertainment, Bandai, Bergsala Enigma, Boardgame Space, Edge Entertainment
128621,Stonemaier Games, One Moment Games,NaN,NaN,NaN,NaN
182631,White Wizard Games, ADC Blackfire Entertainment GmbH, Broadway Toys LTD, Devir, Games Factory, Games Factory Publishing
12,alea, Ravensburger Spieleverlag GmbH, 999 Games, ABACUSSPIELE, Edge Entertainment, Korea Boardgames co.
54998,Matagot, Asmodee, Asterion Press, Bureau De Juegos, CrowD Games, Galu00e1pagos Jogos
822,Hans im Glu00fcck, 999 Games, Albi, Bard Centrum Gier, Bergsala Enigma, Brain Games
109276,Stronghold Games, Giochix.it, Maldito Games, Schwerkraft-Verlag, Sherlock S.A.,NaN
20551,Queen Games, Bergsala Enigma, G3, M-u00c1gnes, Rebel,NaN
31481,Czech Games Edition, Albi, Asmodee, Devir, Heidelberger Spieleverlag, HomoLudicus
245638,eggertspiele, Galu00e1pagos Jogos, Ghenos Games, Pegasus Spiele, Rebel, sternenschimmermeer
220877,HUCH!, 999 Games, Devir, dV Giochi, Egmont Polska, Fabrika Igr
7854,Don & Co., HUCH!, Rebel, Rio Grande Games, Smart Toys and Games,NaN
192291,Gamewright, Devir, Rebel, Reflexshop, uplay.it edizioni, White Goblin Games
285774,Fantasy Flight Games, Asmodee Italia,NaN,NaN,NaN,NaN
421,The Avalon Hill Game Co, Lookout Games, 999 Games, Mayfair Games, Stratelibri,NaN
156129,Jolly Thinkers, Across the Board, Angry Lion Games, Do it games, Gu00e9m Klub Kft., Grey Fox Games
176494,Lookout Games, 999 Games, Albi, Compaya.hu - Gamer Cafu00e9 Kft., Funforge, GoKids u73a9u6a02u5c0fu5b50
155873,2F-Spiele, 999 Games, Arclight, Edge Entertainment, Giochi Uniti, Ideal Board Games
140620,Ludonaute, Asmodee, Asterion Press, Heidelberger Spieleverlag, Hunter & Cron, Rebel
154203,Portal Games, Arclight, Edge Entertainment, FunBox Jogos, Gu00e9m Klub Kft., MYBG Co.
188834,Goat Wolf & Cabbage, (Self-Published), Print & Play Productions, Rattlebox Games,NaN,NaN
19857,Cambridge Games Factory, Boat City, Compaya.hu - Gamer Cafu00e9 Kft., Filosofia u00c9ditions, HomoLudicus, Lookout Games
24181,PD-Verlag, eggertspiele, Rio Grande Games,NaN,NaN,NaN
198994,White Wizard Games, ADC Blackfire Entertainment, ADC Blackfire Entertainment GmbH, Devir, Games Factory, Games Factory Publishing
97207,Czech Games Edition, GaGa Games, Heidelberger Spieleverlag, HomoLudicus, IELLO, MINDOK
127060,alea, Ravensburger Spieleverlag GmbH,NaN,NaN,NaN,NaN
218417,Action Phase Games, Indie Boards & Cards, Portal Games,NaN,NaN,NaN
27708,GMT Games, Z-Man Games, Filosofia u00c9ditions, Gabinete Lu00fadico,NaN,NaN
22545,Tropical Games, ADC Blackfire Entertainment, Edge Entertainment, Idea Edizioni, Mass Games, Microsoft Game Studios
108745,Libellud, Asmodee, Asterion Press, CrowD Games, Gu00e9m Klub Kft., Hobby Japan
38453,Czech Games Edition, Devir, Heidelberger Spieleverlag, HomoLudicus, IELLO, Magellan
203420,KOSMOS, 999 Games, Devir, Dino Toys s. r. o., Galakta, Giochi Uniti
193037,Plaid Hat Games, Arclight, CrowD Games, Cube Factory of Ideas, Edge Entertainment, Filosofia u00c9ditions
92828,Libellud, ADC Blackfire Entertainment, Asmodee, Asterion Press, Galu00e1pagos Jogos, Gu00e9m Klub Kft.
93260,Plaid Hat Games, Cube Factory of Ideas, Filosofia u00c9ditions, Galu00e1pagos Jogos, MINDOK, Raven Distribution
234,Valley Games, The Avalon Hill Game Co, Descartes Editeur, Smart Ltd,NaN,NaN
59294,Fantasy Flight Games, Edge Entertainment, Galakta, Giochi Uniti, Heidelberger Spieleverlag, Stupor Mundi
199478,Lautapelit.fi, Conclave Editora, Devir, FoxGames, Gigamic, HOT Games
146439,Fantasy Flight Games, Edge Entertainment, Giochi Uniti, Heidelberger Spieleverlag, Hobby World, Wargames Club Publishing
3,Fantasy Flight Games, Hans im Glu00fcck, 999 Games, ABACUSSPIELE, Astrel Games, Ceilikan Jogos
66589,PD-Verlag, Cranio Creations, The Game Master BV, Rio Grande Games, Ystari Games,NaN
181279,Fantasy Flight Games, ADC Blackfire Entertainment, Arclight, Edge Entertainment, Galakta, Game Harbor
48726,Clever Mojo Games, Game Salute, Hobby World, LocWorks,NaN,NaN
101721,Arcane Wonders, Asterion Press, Devir, Game Harbor, Games Factory Publishing, Marabunta
19777,Splotter Spellen,NaN,NaN,NaN,NaN,NaN
189932,Gale Force Nine, Heidelberger Spieleverlag, Kronos Games (Krogam), Wizards of the Coast,NaN,NaN
222509,Awaken Realms, Albi, Asmodee, Delta Vision Publishing, Edge Entertainment, Hobby World
13122,Splotter Spellen,NaN,NaN,NaN,NaN,NaN
169426,Thunderworks Games, Arclight, Banana Games, CrowD Games, Gen-X Games, Intrafin Games
760,GMT Games, Chrononauts Games, Lavka Games, NeoTroy Games, Rolands Revenge Games, Swan Panasia Co.
54138,PD-Verlag, Cranio Creations, Egmont Polska, The Game Master BV, Hobby World, Pensamento Coletivo
217372,Ravensburger Spieleverlag GmbH, 999 Games, Lavka Games, Nasza Ksiu0119garnia,NaN,NaN
144344,eggertspiele, Arclight, Delta Vision Publishing, Eagle-Gryphon Games, Filosofia u00c9ditions, hobbity.eu
172081,Fowers Games, (Self-Published), (Web published), 2Tomatoes,NaN,NaN
204583,Blue Orange (EU), Blue Orange Games, Fantasmagoria, Feelindigo, FoxGames, FoxMind Israel
181304,Libellud, ADC Blackfire Entertainment, Asmodee, Bergsala Enigma, Esdevium, F2Z Digital Media Inc.
228341,Czech Games Edition, Asmodee, Cranio Creations, Devir, DiceTree Games, IELLO
172818,Red Raven Games, Bard Centrum Gier, Conclave Editora, Devir, dV Giochi, Lavka Games
176734,Minion Games, Do it games, Playfun Games,NaN,NaN,NaN
158600,EmperorS4, Takamagahara, 2Tomatoes, COLON ARC, Deep Water Games, IELLO
118,Hans im Glu00fcck, Arrakis Games, CMON Limited, DiceTree Games, Drosselmeyer & Co. Ltd., Galu00e1pagos Jogos
160477,conception, Arcane Wonders, Igiari, Maldito Games, minimalGames, Pegasus Spiele
17392,GMT Games, Banana Games, Udo Grebe Gamedesign,NaN,NaN,NaN
77130,Fantasy Flight Games, (Unknown), ADC Blackfire Entertainment, Delta Vision Publishing, Edge Entertainment, Fantasmagoria
197376,Stonemaier Games, Albi, Chronicle Games (Board Game), Delta Vision Publishing, Feuerland Spiele, Ghenos Games
45315,Czech Games Edition, Giochi Uniti, Heidelberger Spieleverlag, Hobby Japan, HomoLudicus, IELLO
40692,Days of Wonder, Asmodee, Asterion Press, Bergsala Enigma, Compaya.hu - Gamer Cafu00e9 Kft., Edge Entertainment
59959,Nexus Editrice, Sir Chester Cobblepot, 999 Games, Devir, Edge Entertainment, Fantasy Flight Games
2655,Gen42 Games, Asmodee, Cru00f3mola, G3, Gigamic, HUCH!
41114,Indie Boards & Cards, (Web published), 999 Games, Devir, Edge Entertainment, Galu00e1pagos Jogos
163745,Fantasy Flight Games, Edge Entertainment, Galakta, Giochi Uniti, Heidelberger Spieleverlag,NaN
119890,Lookout Games, 999 Games, Filosofia u00c9ditions, Giochi Uniti, Hobby Japan, HomoLudicus
139976,Petersen Games, Arclight, BoardM Factory, Fabrika Igr, Green Eye Games, Last Level
136888,Hans im Glu00fcck, Arclight, Broadway Toys LTD, dV Giochi, Filosofia u00c9ditions, Hobby World
25292,Z-Man Games, Asmodee, Asterion Press, Conclave Editora, Filosofia u00c9ditions, Pegasus Spiele
264220,Awaken Realms, CrowD Games, Maldito Games, Summon Games,NaN,NaN
206718,Asterion Press, BoardM Factory, CMON Limited, Conclave Editora, Delta Vision Publishing, Edge Entertainment
254640,Repos Production, ADC Blackfire Entertainment, Brain Games, Galu00e1pagos Jogos, Gu00e9m Klub Kft., GoKids u73a9u6a02u5c0fu5b50
209685,Plan B Games, ABACUSSPIELE, Arclight, Asmodee, Bergsala Enigma, Broadway Toys LTD
37046,Repos Production, Asmodee, Lautapelit.fi, Rebel,NaN,NaN
176920,Fantasy Flight Games, Edge Entertainment, Galakta, Giochi Uniti, Heidelberger Spieleverlag,NaN
46213,Anvu00e4ndbart Litet Fu00f6retag, Broadway Toys LTD, Competo / Marektoy, Crown & Andrews Ltd., Desyllas Games, Goliath B.V. (Board Game)
232832,Plan B Games, Cube Factory of Ideas,NaN,NaN,NaN,NaN
54,Ravensburger Spieleverlag GmbH, Super Meeple, Conclave Editora, dV Giochi, Egmont Polska, Gu00e9m Klub Kft.
143693,Feuerland Spiele, Cranio Creations, Filosofia u00c9ditions, Lacerta, Maldito Games, Mayfair Games
39856,Libellud, ADC Blackfire Entertainment, Asmodee, Asterion Press, Galu00e1pagos Jogos, Gu00e9m Klub Kft.
5,3M, The Avalon Hill Game Co, Avalon Hill Games, Dujardin, Grow Jogos e Brinquedos, PS-Games
182134,North Star Games, (Web published), Funforge, Rightgames RBG SIA,NaN,NaN
21241,Portal Games, FunBox Jogos, Heidelberger Spieleverlag, HomoLudicus, IELLO, Magellan
70919,Bombyx, Matagot, Asmodee, Asterion Press, Bergsala Enigma, Filosofia u00c9ditions
163967,Gamelyn Games, (Web published), Angry Lion Games, Devir, GaGa Games, Giochix.it
1,Hans im Glu00fcck, Moskito Spiele, Spielworxx, Stronghold Games, Valley Games, YOKA Games
140934,Filosofia u00c9ditions, Renegade Game Studios, Z-Man Games, ABACUSSPIELE, Fractal Juegos, Gen-X Games
33160,Z-Man Games, Albi, Hobby Japan, Lookout Games, Wargames Club Publishing, White Goblin Games
25554,alea, Ravensburger Spieleverlag GmbH, Broadway Toys LTD, Filosofia u00c9ditions, Rio Grande Games,NaN
129622,Alderac Entertainment Group, Kanai Factory, 963.com, 999 Games, Arclight, Bard Centrum Gier
266810,Garphill Games, Renegade Game Studios, Banana Games, Ediciones Primigenio, Fever Games, Meeple BR Jogos
36932,Asmodee, Rebel,NaN,NaN,NaN,NaN
31594,alea, Ravensburger Spieleverlag GmbH, Broadway Toys LTD, Filosofia u00c9ditions, Rebel, Rio Grande Games
40765,Filosofia u00c9ditions, Z-Man Games, Ediciones MasQueOca,NaN,NaN,NaN
227789,eggertspiele, Arclight, Ediciones MasQueOca, Pegasus Spiele, Piatnik,NaN
8217,alea, Ravensburger Spieleverlag GmbH, Broadway Toys LTD, Devir, Filosofia u00c9ditions, Mu00f6bius Games
2653,Parker Brothers, Stronghold Games, ADC Blackfire Entertainment, Asmodee, Asterion Press, Conclave Editora
15985,(Web published), Games Workshop Ltd.,NaN,NaN,NaN,NaN
24480,KOSMOS, 999 Games, Albi, Cappelen, Competo / Marektoy, Devir
262712,Sand Castle Games, 17wanzy (Yihu BG), Rebel, sternenschimmermeer, u30c6u30f3u30c7u30a4u30bau30b2u30fcu30e0u30ba (Ten Days Games),NaN
121,The Avalon Hill Game Co, Descartes Editeur, Hobby Japan,NaN,NaN,NaN
9217,Hans im Glu00fcck, 999 Games, Hobby World, MINDOK, Rio Grande Games,NaN
63628,Minion Games, Asmodee, Czacha Games, Do it games, ku00e1rtyagyu00e1r, Magellan
243,The Avalon Hill Game Co, Hobby Japan, Multi-Man Publishing,NaN,NaN,NaN
71,Hartland Trefoil Ltd., ACE Pelit Oy, The Avalon Hill Game Co, Compendium Games, Descartes Editeur, Gibsons
54625,Games Workshop Ltd.,NaN,NaN,NaN,NaN,NaN
124708,Plaid Hat Games, Asmodee, Cube Factory of Ideas, Ediciones MasQueOca, Filosofia u00c9ditions, Galu00e1pagos Jogos
186751,Monolith, Mythic Games,NaN,NaN,NaN,NaN
198773,Czech Games Edition, Asmodee, Bergsala Enigma, Brain Games, Cranio Creations, Devir
39683,Hall Games, Tasty Minstrel Games, 999 Games, Fullcap Games, Hobby Japan, Intrafin Games
21348,Days of Wonder,NaN,NaN,NaN,NaN,NaN
