,objectid,name,yearpublished,minplayers,maxplayers,minplaytime,maxplaytime,usersrated,average,baverage,avgweight,siteviews,boardgamehonor_cnt,boardgameversion_cnt,boardgamecategory,boardgamemechanic
17046,4384.0,Im Schatten des Sonnenk\u00f6nigs,2002.0,2.0,6,0.75,0.75,109.0,5.14771,5.47316,1.5556,24583.0,0.0,1.0,"Age of Reason, Card","Auction, Bidding, Card Drafting, Set Collection"
17047,2738.0,The Gnumies,2001.0,2.0,5,0.3333333333333333,0.3333333333333333,209.0,5.34067,5.47315,1.1765,19729.0,0.0,2.0,"Card, Fantasy","Auction, Bidding, Hand Management, Set Collection, Simultaneous Action Selection"
17048,1435.0,4000 A.D. \/ L'AN 4000,1972.0,2.0,4,1.5,1.5,368.0,5.40978,5.47315,2.1556,68165.0,0.0,4.0,"Sci-Fi, War","Hidden Movement, Secret Unit Deployment, Team-Based Game"
17049,14361.0,Trivial Pursuit  Disney \u2013 The Animated Picture Edition,1999.0,2.0,20,0.5,0.5,106.0,5.21132,5.47314,1.5714,15409.0,0.0,3.0,"Childrens Game, Adaptation, Party Game, Trivia","Roll ,  Spin and Move"
17050,2566.0,Die Erbtante,1997.0,3.0,5,0.5,0.5,116.0,5.21466,5.47313,1.5833,21629.0,0.0,1.0,Card,"Auction, Bidding"
17051,9153.0,Monopoly  NASCAR,1997.0,2.0,8,2.0,2.0,48.0,4.89333,5.47313,2.0,14665.0,0.0,1.0,"Economic, Negotiation","Auction, Bidding, Player Elimination, Roll ,  Spin and Move, Set Collection, Trading"
17052,360.0,Quests of the Round Table,1995.0,2.0,4,1.0,1.0,281.0,5.35523,5.47312,1.8148,39486.0,0.0,3.0,"Card, Medieval","Card Game, Medieval"
17053,9475.0,Backwords,1988.0,3.0,8,0.75,0.75,74.0,5.04905,5.47311,1.4,26065.0,0.0,3.0,"Humor, Party Game, Word Game","Cooperative Game, Simultaneous Action Selection, Team-Based Game"
17054,158918.0,FLY,2015.0,2.0,4,0.16666666666666666,0.16666666666666666,262.0,5.35282,5.47309,1.0909,9924.0,0.0,2.0,"Action , Dexterity, Party Game",Set Collection
17055,19484.0,Wiochmen Rejser,2005.0,2.0,4,0.25,0.25,230.0,5.40783,5.47305,1.3235,14808.0,0.0,1.0,"Card, Humor, Racing","Card Drafting, Hand Management, Modular Board"
17056,13114.0,8 1\/2,2003.0,2.0,6,0.16666666666666666,0.16666666666666666,70.0,4.91429,5.47303,1.2222,17254.0,0.0,3.0,"Card, Number","Card Game, Number"
17057,39636.0,Aku Ankka,2008.0,2.0,6,0.5,0.5,30.0,4.22,5.47303,2.0,4878.0,0.0,4.0,"Comic Book , Strip, Adaptation, Trivia",Action Points
17058,1653.0,Coup,1991.0,2.0,2,1.0,1.0,80.0,5.09125,5.47302,1.8571,19112.0,0.0,1.0,War,Hexagon Grid
17059,28674.0,Akkon  Machtkampf der Tempelritter,2007.0,2.0,5,0.75,0.75,86.0,5.11628,5.473,2.625,19487.0,0.0,1.0,"Bluffing, Medieval, Religious","Auction, Bidding, Secret Unit Deployment, Variable Player Powers"
17060,12876.0,Cranium Balloon Lagoon,2004.0,2.0,4,0.25,0.25,138.0,5.23986,5.47299,1.0,29575.0,0.0,1.0,"Action , Dexterity, Childrens Game, Word Game","Dice Rolling, Pattern Recognition"
17061,158232.0,Bedpans & Broomsticks,2014.0,2.0,5,0.5,1.0,75.0,4.88667,5.47297,2.0,21082.0,0.0,1.0,Mayfair Games,"Roll ,  Spin and Move, Tile Placement, Variable Player Powers"
17062,76551.0,Hirelings  The Ascent,2012.0,2.0,6,0.5,0.5,59.0,5.08898,5.4729,2.0,13580.0,0.0,1.0,"Childrens Game, Fantasy","Roll ,  Spin and Move"
17063,14991.0,Elementalis,2006.0,2.0,4,0.5,0.5,45.0,4.65444,5.47289,2.0,23509.0,0.0,1.0,Dice,Dice Rolling
17064,6994.0,Scrabble Cards,1997.0,2.0,6,0.3333333333333333,0.3333333333333333,248.0,5.4056,5.47288,1.7097,47875.0,0.0,18.0,"Card, Word Game","Hand Management, Tile Placement"
17065,21257.0,Eat It!,2007.0,2.0,6,0.0,0.0,32.0,4.28906,5.47285,1.0,16406.0,0.0,1.0,"Party Game, Trivia","Party Game, Trivia"
17066,16562.0,Pie Face,1993.0,2.0,4,0.25,0.25,36.0,4.47306,5.47276,1.0,8887.0,0.0,1.0,"Childrens Game, Memory",Memory
17067,40886.0,Heist,2008.0,2.0,6,0.16666666666666666,0.16666666666666666,45.0,4.64244,5.47275,1.0,10589.0,0.0,0.0,Card,Hand Management
17068,36634.0,Rice Wars,2008.0,2.0,5,1.0,1.0,199.0,5.30573,5.47275,2.8636,51611.0,0.0,1.0,Medieval,"Area Majority ,  Influence, Auction, Bidding, Card Drafting"
17069,148273.0,Kto z Kim?,2013.0,3.0,8,0.5,0.5,42.0,5.05714,5.47273,1.0,2614.0,0.0,2.0,"Card, Party Game",Voting
17070,2225.0,Bamboozle,1997.0,4.0,20,0.75,0.75,72.0,4.93819,5.4727,1.2,41633.0,0.0,1.0,"Party Game, Word Game","Party Game, Word Game"
17071,29625.0,59 Seconds,2007.0,2.0,2,0.16666666666666666,0.16666666666666666,31.0,4.32194,5.47264,1.0,10113.0,0.0,2.0,Card,Card Game
17072,5996.0,The Battle for Cassino  Assaulting the Gustav Line,1978.0,2.0,2,4.0,4.0,141.0,5.23496,5.47264,3.1765,24534.0,0.0,2.0,"War, War","Hexagon Grid, Simulation"
17073,6228.0,Rolling Thunder,1979.0,2.0,2,6.0,6.0,36.0,4.62278,5.47262,4.1111,12743.0,0.0,2.0,"Vietnam War, War","Dice Rolling, Hexagon Grid"
17074,1488.0,Trailer Park Gods,1998.0,3.0,6,0.5,0.5,55.0,4.74182,5.47261,1.5714,8801.0,0.0,0.0,Card,Take That
17075,8852.0,GemQuest,2003.0,2.0,8,3.0,3.0,49.0,4.71429,5.47259,2.75,26651.0,0.0,1.0,"Adventure, Fantasy","Betting and Bluffing, Hand Management, Roll ,  Spin and Move, Trading"
17076,8097.0,Ten Commandments Bible Game,1960.0,2.0,6,2.5,2.5,46.0,4.75,5.47257,1.2,21203.0,0.0,4.0,"Abstract Strategy, Ancient, Educational, Religious","Cooperative Game, Pick-up and Deliver, Role Playing, Roll ,  Spin and Move, Set Collection"
17077,76668.0,Diary of a Wimpy Kid  Cheese Touch,2010.0,3.0,6,0.5,0.6666666666666666,70.0,4.8223,5.47257,1.0,28947.0,0.0,6.0,"Bluffing, Childrens Game, Dice, Humor, Novel-based, Party Game","Betting and Bluffing, Dice Rolling, Roll ,  Spin and Move"
17078,5234.0,Sniggle!,1978.0,2.0,4,0.3333333333333333,0.3333333333333333,64.0,4.92188,5.47257,1.125,11033.0,0.0,6.0,"Childrens Game, Racing","Roll ,  Spin and Move"
17079,353.0,Inkognito  The Card Game,1997.0,3.0,5,0.5,0.5,523.0,5.42199,5.47256,1.66,66497.0,1.0,5.0,"Card, Deduction, Murder,Mystery",Hand Management
17080,31561.0,Bankruptcy  The Card Game,2007.0,2.0,6,0.16666666666666666,0.16666666666666666,53.0,4.7983,5.47255,1.5455,10819.0,0.0,1.0,"Card, Economic, Humor",Hand Management
17081,38694.0,Godzilla  Kaiju World Wars,2011.0,2.0,4,1.0,1.0,173.0,5.37954,5.47255,2.1053,146159.0,0.0,1.0,"Fighting, Miniatures, Adaptation","Action Points, Campaign ,  Battle Card Driven, Dice Rolling, Hand Management"
17082,6363.0,Monopoly  World Cup France '98 Edition,1998.0,2.0,8,2.0,2.0,90.0,5.06222,5.47248,2.5,17889.0,0.0,3.0,"Economic, Negotiation","Auction, Bidding, Player Elimination, Roll ,  Spin and Move, Set Collection, Trading"
17083,10808.0,BSZZZZ!,2003.0,3.0,6,0.3333333333333333,0.3333333333333333,39.0,4.55128,5.47245,1.0,8265.0,0.0,2.0,"Action , Dexterity, Animals, Card","Pattern Recognition, Set Collection, Simultaneous Action Selection"
17084,31016.0,We Didn't Playtest This At All,2007.0,2.0,10,0.016666666666666666,0.16666666666666666,2810.0,5.52909,5.47243,1.0938,267592.0,0.0,2.0,"Card, Humor, Party Game","Hand Management, Memory, Player Elimination, Rock-Paper-Scissors, Take That"
17085,11167.0,Brain Quest Extra for the Car,1993.0,2.0,4,0.016666666666666666,0.016666666666666666,41.0,4.50185,5.47236,1.2,17193.0,0.0,3.0,"Childrens Game, Educational, Trivia","Roll ,  Spin and Move"
17086,10744.0,Corx,1999.0,1.0,2,0.0,0.0,57.0,4.94737,5.47235,1.0,9204.0,0.0,1.0,"Action , Dexterity, Collectible Components","Action ,  Dexterity, Collectible Components"
17087,22265.0,Don Peperoni,2006.0,3.0,5,0.75,0.75,59.0,4.86102,5.47234,1.7778,11979.0,0.0,1.0,"Bluffing, Humor, Mafia","Action Points, Area Majority ,  Influence, Area Movement, Auction, Bidding"
17088,8638.0,Monopoly Junior  Travel Edition,1991.0,2.0,4,0.5,0.5,30.0,4.27,5.47234,0.0,12028.0,0.0,3.0,"Childrens Game, Economic, Negotiation","Roll ,  Spin and Move, Set Collection, Trading"
17089,4889.0,Dizzy Dizzy Dinosaur,1987.0,2.0,4,0.16666666666666666,0.16666666666666666,102.0,5.13039,5.47234,1.2,37514.0,1.0,10.0,"Childrens Game, Prehistoric","Roll ,  Spin and Move"
17090,206851.0,Kivi,2016.0,2.0,4,0.5,0.5,53.0,4.78302,5.4723,1.0,7745.0,2.0,1.0,Dice,"Dice Rolling, Pattern Building"
17091,4076.0,Management Material (General Office Edition),2002.0,2.0,5,0.5,0.5,196.0,5.35842,5.4723,1.1176,15832.0,0.0,1.0,Card,Hand Management
17092,6486.0,Save the President,1980.0,2.0,6,1.5,1.5,42.0,4.80476,5.47228,2.0,18840.0,0.0,2.0,"Deduction, Political, Spies,Secret Agents",Point to Point Movement
17093,1443.0,Alpha Blitz,1998.0,2.0,6,0.5,0.5,86.0,5.07558,5.47222,2.0,14593.0,0.0,1.0,"Card, Word Game",Simultaneous Action Selection
17094,85286.0,Skyscrapers,2010.0,2.0,4,0.5,0.75,66.0,4.9303,5.47217,2.1429,22023.0,0.0,2.0,"Action , Dexterity, City Building","Action ,  Dexterity, City Building"
17095,1249.0,Safari Jack \remix edition\,1998.0,2.0,4,0.5,0.5,269.0,5.36208,5.47216,1.4231,18751.0,0.0,2.0,"Abstract Strategy, Animals, Exploration",Tile Placement
17096,6364.0,Monopoly  Hong Kong,1997.0,2.0,8,2.0,2.0,47.0,4.56383,5.47214,2.0,19930.0,0.0,3.0,"Economic, Negotiation","Auction, Bidding, Player Elimination, Roll ,  Spin and Move, Set Collection, Trading"
