sort_index,object_id,game_name,year_published,min_players,max_players,min_playtime,max_playtime,average,complexity,siteviews,category_1,category_2,category_3,category_4,category_5,category_6,mech_1,mech_2,mech_3,mech_4,mech_5,mech_6,users_rated
4627,85105,Travel Blog,2010,2,6,30,30,6.10581,1.5185,60218,Educational, Real-time, Travel,na,na,na,Point to Point Movement,na,na,na,na,na,642
4628,63,Samurai,1979,2,8,180,180,6.45527,2.6226,68959,Political, War,na,na,na,na,Area Movement,na,na,na,na,na,410
4629,284818,Caylus 1303,2019,2,5,60,90,8.18661,2.7143,47795,City Building, Economic, Medieval,na,na,na,Worker Placement,na,na,na,na,na,112
4630,895,APBA Pro Baseball,1951,1,2,30,30,6.95436,1.913,71663,Sports,na,na,na,na,na,Dice Rolling, Simultaneous Action Selection,na,na,na,na,257
4631,18794,SuperGang,1985,3,5,120,120,7.07882,2.8667,23624,Dexterity, Humor, Mafia, Negotiation,na,na,Roll / Spin and Move,na,na,na,na,na,195
4632,166372,Artificium,2014,2,6,20,50,6.08644,2.0541,65626,card, industry_manuf, Medieval,na,na,na,Card Drafting, Simultaneous Action Selection, Trading,na,na,na,787
4633,27298,Owner's Choice,2006,2,5,45,45,6.17356,1.75,62637,Economic,na,na,na,na,na,Dice Rolling, Stock Holding,na,na,na,na,592
4634,172560,Piratoons,2015,2,4,30,30,6.42951,1.8235,47143,War, Pirates, Real-time,na,na,na,Auction/Bidding, Card Drafting, Set Collection,na,na,na,374
4635,227029,Sakura,2018,2,6,20,40,6.55596,1.2,32073,strategy,na,na,na,na,na,Action Queue, Simultaneous Action Selection,na,na,na,na,317
4636,64897,Formule D\u00e9,1991,2,10,120,120,7.1918,2.3333,13292,Racing, Sports,na,na,na,na,Roll / Spin and Move,na,na,na,na,na,189
4637,43526,Germantown,2010,2,2,180,180,7.47855,3,44236,Age of Reason, American Revolutionary War, War,na,na,na,Hexagon Grid,na,na,na,na,na,153
4638,230265,Chronicles of Frost,2018,1,4,60,80,7.41728,2.25,40546,Adventure, card, Exploration, Fantasy,na,na,Deck, Modular Board, Variable Player Powers,na,na,na,162
4639,218933,Warhammer Quest  Shadows Over Hammerhal,2017,2,5,60,120,7.89938,2,110919,Adventure, Dice, Exploration, Fantasy, Fighting, Miniatures,Dice Rolling, Grid Movement, Modular Board, Role Playing, Team-Based Game,na,162
4640,46323,Warlords of Europe,2010,2,4,180,240,6.83709,2.6364,140115,Medieval, War,na,na,na,na,Area Movement, Dice Rolling,na,na,na,na,279
4641,4610,Lord of the Rings  The Duel,2002,2,2,45,45,5.92164,1.7048,98139,Fantasy, Fighting, Adaptation,na,na,na,Hand Management,na,na,na,na,na,1274
4642,246855,Boss Monster  Rise of the Minibosses,2018,2,4,20,45,7.19275,2,24389,card, Fantasy, Adaptation,na,na,na,Auction/Bidding, Hand Management, Player Elimination, Take That, Variable Player Powers,na,198
4643,2224,Circus Imperium,1988,2,12,120,120,6.68543,2.0476,41020,Fantasy, Racing,na,na,na,na,Area-Impulse, Hexagon Grid,na,na,na,na,278
4644,1149,Dragon Strike,1993,2,6,60,60,6.24471,2.3137,211008,Adventure, Exploration, Fantasy, Fighting, Miniatures,na,Dice Rolling, Role Playing, Time Track, Variable Player Powers,na,na,645
4645,209166,Meduris  Der Ruf der G\u00f6tter,2016,2,4,75,75,6.51578,2.2857,39564,Dice, Economic, Fantasy, Mythology,na,na,Dice Rolling, Worker Placement,na,na,na,na,305
