sort_index,object_id,game_name,year_published,min_players,max_players,min_playtime,max_playtime,average,complexity,siteviews,category_1,category_2,category_3,category_4,category_5,category_6,mech_1,mech_2,mech_3,mech_4,mech_5,mech_6,users_rated
18689,1791,Space Race,1991,1,6,90,90,5.33333,1.6667,5622,Civilization, Exploration,na,na,na,na,Action Points, Tile Placement, Trading,na,na,na,6
18690,1795,Risk \u00c9dition Napol\u00e9on  Extension Empire Ottoman,2000,2,6,120,120,7.22581,2,40338,Expansion for Base-game, War, Territory Building, War,na,na,Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling,na,na,31
18691,1798,Battle Dice,2000,2,5,30,30,4.42857,0,7558,card, Dice,na,na,na,na,Action Points,na,na,na,na,na,7
18692,1801,Clean Sweep,2001,2,5,20,20,5.5,0,3185,(Unknown),na,na,na,na,na,(Unknown),na,na,na,na,na,2
18693,1807,Shrimpin',2003,2,6,90,90,5.8,1.6667,5816,card,na,na,na,na,na,Card Game,na,na,na,na,na,10
18694,1808,Witch Hunt,2000,3,5,60,60,5.36667,1.4,11988,card,na,na,na,na,na,Card Game,na,na,na,na,na,24
18695,1809,Rally,2001,2,6,30,30,9,0,4239,Racing,na,na,na,na,na,Racing,na,na,na,na,na,1
18696,1813,Chalet,0,2,6,90,90,4.27778,2.5,5467,strategy, City Building,na,na,na,na,Abstract Strategy, City Building,na,na,na,na,9
18697,1828,Doomsday Cult 2000,1998,2,6,30,30,0,0,4126,card,na,na,na,na,na,Card Game,na,na,na,na,na,0
18698,1834,Chill Out!,1996,2,4,10,10,4.42857,0,3752,Awesome Games,na,na,na,na,na,Awesome Games,na,na,na,na,na,7
18699,1838,The Who,1969,3,5,30,30,6.88889,2,5892,Adaptation, Trivia,na,na,na,na,Auction/Bidding,na,na,na,na,na,18
18700,1839,Odd Ball,0,2,4,30,30,4.16667,0,5301,card, Childrens Game, Dice,na,na,na,Dice Rolling, Set Collection,na,na,na,na,12
18701,1843,Hurricane,1981,2,4,60,60,6.625,0,5096,Coldicutt Games,na,na,na,na,na,Coldicutt Games,na,na,na,na,na,4
18702,1845,Zocker,1999,2,4,20,20,3,0,5493,Theta,na,na,na,na,na,Theta,na,na,na,na,na,5
18703,1846,Zock,0,2,4,45,45,2.95,0,3715,Dice,na,na,na,na,na,Roll / Spin and Move,na,na,na,na,na,10
18704,1848,W\u00fcrfel-Duell,1991,4,6,45,45,5.47,2,2568,card, Dice,na,na,na,na,Dice Rolling,na,na,na,na,na,10
18705,1849,W\u00f6rtersee,1998,2,4,20,20,5.75,1.5,5015,Real-time, Word Game,na,na,na,na,Real-time, Word Game,na,na,na,na,26
18706,1850,Wind City,1997,2,5,45,45,7,2,3332,Edition Perlhuhn (Gu00f6ttinger Spiele),na,na,na,na,na,Edition Perlhuhn (Gu00f6ttinger Spiele),na,na,na,na,na,8
18707,1851,Mythrole  Merchants,2001,2,6,240,240,2,0,3884,Economic, Fantasy, Fighting, Negotiation, Transportation,na,Commodity Speculation, Trading,na,na,na,na,1
18708,1852,Insikt,1991,2,6,120,120,3.875,1,4604,Trivia,na,na,na,na,na,Trivia,na,na,na,na,na,24
18709,1854,Foqus,1993,2,6,45,45,4.09524,0,4340,Party Game, Trivia,na,na,na,na,Party Game, Trivia,na,na,na,na,21
18710,1856,Geni 2000,1999,2,6,60,60,4.9375,0,3221,Party Game, Trivia,na,na,na,na,Roll / Spin and Move,na,na,na,na,na,16
18711,1858,Diamond City,1995,2,6,90,90,3.1087,1,14286,card, Childrens Game, Deduction, Mafia,na,na,Roll / Spin and Move, Set Collection,na,na,na,na,23
18712,1862,Avalon,1994,3,6,45,45,5.15357,1.5,14802,Medieval, Negotiation,na,na,na,na,Set Collection, Trading,na,na,na,na,28
18713,1863,Tatort Titanic,1987,3,6,60,60,4.07308,1.6,6596,Deduction, murder_mystery,na,na,na,na,Variable Player Powers,na,na,na,na,na,26
18714,1864,Expedition Robinson,1999,2,5,60,60,4.16667,1.6667,5466,Dexterity, Bluffing, Adaptation, Party Game,na,na,Secret Unit Deployment,na,na,na,na,na,9
18715,1868,Conquistador,2001,2,4,60,60,5.33333,2.25,14002,card, Economic, Renaissance,na,na,na,Card Game, Economic, Renaissance,na,na,na,9
18716,1870,Gold Train,2000,2,6,120,120,5.1,2,7232,American West, Economic, Trains, Transportation,na,na,American West, Economic, Trains, Transportation,na,na,15
18717,1872,Hurricane  The Game of the Tropics,1988,2,4,120,120,7.2,0,12389,War,na,na,na,na,na,Grid Movement, Point to Point Movement, Roll / Spin and Move, Stock Holding,na,na,5
18718,1880,Armour Quest  Qu\u00e6stro,1995,2,5,120,120,3,0,21715,Adventure, Dice, Exploration, Fantasy,na,na,Cooperative Game, Variable Player Powers,na,na,na,na,1
18719,1882,Blazing Camels,2000,3,7,30,30,5.18421,1,6322,Arabian, Racing,na,na,na,na,Auction/Bidding,na,na,na,na,na,19
18720,1885,How Much for the Camel?,1999,3,9,30,30,5.25,2,5453,Arabian,na,na,na,na,na,Auction/Bidding,na,na,na,na,na,10
18721,1889,Office Politics,1995,2,6,120,120,5.33333,0,10911,Political,na,na,na,na,na,Political,na,na,na,na,na,15
18722,1893,Traffic Lights,1992,2,2,10,10,4.96818,1,12837,strategy,na,na,na,na,na,Tile Placement,na,na,na,na,na,22
18723,1895,Salamis,1999,2,2,360,360,6.90476,3.1176,19332,Ancient, Expansion for Base-game, War, War,na,na,Hexagon Grid,na,na,na,na,na,63
18724,1900,Maul of America  Raid on the Mall,2000,2,6,120,120,4.75,0,6495,Expansion for Base-game, Fighting, Horror, Zombies,na,na,Dice Rolling, Variable Player Powers,na,na,na,na,6
18725,1903,Robert Ludlum's Game of Counter Espionage,1988,3,6,60,60,5.5,2.3333,9415,Bluffing, Deduction, secret_agent,na,na,na,Cooperative Game,na,na,na,na,na,14
18726,1904,Babylon 5 Component Game System  Reinforcements Pack #1,1998,2,6,120,120,6.01923,2.5714,17754,card, Economic, Expansion for Base-game, Exploration, Adaptation, Negotiation,Modular Board, Tile Placement, Variable Player Powers, Voting,na,na,78
18727,1911,Hollywood for Sale,1994,3,6,20,20,5.45333,0,4582,Bluffing, card,na,na,na,na,Auction/Bidding,na,na,na,na,na,15
18728,1914,Im 7. Himmel,1989,2,6,60,60,4.52174,2,8142,strategy, Fantasy,na,na,na,na,Abstract Strategy, Fantasy,na,na,na,na,23
18729,1918,REM,1984,2,6,20,20,5,0,3740,card,na,na,na,na,na,Set Collection,na,na,na,na,na,1
18730,1921,Sovereign of the Seas,1979,2,6,120,120,5.48846,2,11860,Adventure, War, Transportation,na,na,na,Pick-up and Deliver, Roll / Spin and Move,na,na,na,na,13
18731,1928,Dark Continent,2000,2,5,180,180,5.81818,3,10668,Economic, Print & Play, Territory Building,na,na,na,Area-Impulse, Simultaneous Action Selection,na,na,na,na,11
18732,1929,Bushido Denied  The Battles of Bataan and Corregidor,2000,2,2,240,240,6.9,4,8519,Fighting, War, War,na,na,na,Hexagon Grid,na,na,na,na,na,5
18733,1930,Anti-Monopoly III  Washington-Moskau,1987,2,6,120,120,3.11111,1,12292,Negotiation, Political,na,na,na,na,Roll / Spin and Move,na,na,na,na,na,9
18734,1944,Mogelei,1995,3,8,30,30,4.68182,1.5,5117,Bluffing, card,na,na,na,na,Trick-taking,na,na,na,na,na,22
18735,1948,Pratmakarna,1999,4,8,45,45,5.8,1,3335,Party Game, Word Game,na,na,na,na,Party Game, Word Game,na,na,na,na,15
18736,1949,Ok\u00e4nd planet,0,2,6,60,60,4.40909,2.5,4812,Adventure, Exploration, Sci_Fi,na,na,na,Set Collection, Variable Player Powers,na,na,na,na,22
18737,1951,Online,1995,2,4,30,30,3.25,0,3749,Word Game,na,na,na,na,na,Word Game,na,na,na,na,na,4
18738,1955,Star Wars Episode I  Attack on Naboo,1999,2,4,45,45,3.40476,1,9977,Dice, Fighting, Adaptation, Sci_Fi,na,na,Team-Based Game,na,na,na,na,na,21
18739,1966,RoboRally  Radioactive,1998,2,8,120,120,7.56205,2.8393,47195,Expansion for Base-game, Racing, Sci_Fi,na,na,na,Modular Board, Simultaneous Action Selection,na,na,na,na,716
18740,1967,RoboRally  Grand Prix,1997,2,8,120,120,7.76519,2.6731,48155,Expansion for Base-game, Racing, Sci_Fi,na,na,na,Modular Board, Simultaneous Action Selection,na,na,na,na,646
18741,1968,RoboRally  Crash and Burn,1997,2,8,120,120,7.78563,2.65,66018,Expansion for Base-game, Racing, Sci_Fi,na,na,na,Modular Board, Simultaneous Action Selection,na,na,na,na,912
18742,1971,Bump,1990,2,4,20,20,3.6,1,5715,card,na,na,na,na,na,Card Game,na,na,na,na,na,5
18743,1976,Beutezug,1989,2,6,30,30,4.83333,1,4548,card,na,na,na,na,na,Card Game,na,na,na,na,na,3
18744,1978,Rasant,1993,3,5,30,30,5.40476,0,4389,card, Racing,na,na,na,na,Card Game, Racing,na,na,na,na,21
18745,1979,Da Capo!,1993,2,6,30,30,4.42593,1,7393,card,na,na,na,na,na,Card Game,na,na,na,na,na,27
18746,1980,Gold am Yukon,1990,3,6,45,45,4.88421,2,6948,Childrens Game, Dice,na,na,na,na,Roll / Spin and Move,na,na,na,na,na,19
18747,1988,Outlaw Trail  The Western Game,1972,2,8,60,60,3.66667,0,9657,American West,na,na,na,na,na,Roll / Spin and Move,na,na,na,na,na,9
18748,1990,The Great Canadian Pie,1977,4,9,120,120,5.33333,1.3333,6719,Economic, Negotiation, Political,na,na,na,Economic, Negotiation, Political,na,na,na,12
18749,1995,Excuses,1981,2,6,90,90,4.6,1,4948,Transportation,na,na,na,na,na,Roll / Spin and Move,na,na,na,na,na,5
18750,1999,Utmaningen,1995,2,6,90,90,3.5,0,2818,Alga,na,na,na,na,na,Alga,na,na,na,na,na,8
18751,2005,Ursuppe  Frisch Abgeschmeckt,1998,3,6,90,90,7.26602,2.875,51661,Expansion for Base-game,na,na,na,na,na,Variable Player Powers,na,na,na,na,na,734
18752,2006,Jati,1965,2,4,20,20,5.38095,1,35013,strategy,na,na,na,na,na,Tile Placement,na,na,na,na,na,21
18753,2007,Votum,1987,4,6,10,10,2.86667,2,3571,Political,na,na,na,na,na,Political,na,na,na,na,na,15
18754,2008,Verflixt und Zugesperrt,1998,2,4,10,10,5,0,3323,Piatnik,na,na,na,na,na,Piatnik,na,na,na,na,na,1
18755,2009,Tweedledum  The New Adventures with Alice in Wonderland,1988,2,5,60,60,4.04167,1.5,5880,Adaptation,na,na,na,na,na,Dice Rolling, Memory, Point to Point Movement, Set Collection,na,na,12
18756,2013,Till Eulenspiegel,1987,2,5,15,45,5.08636,2.5,7344,Childrens Game, Memory,na,na,na,na,Memory, Set Collection,na,na,na,na,22
18757,2015,Das Magische Hexagon,1994,2,2,60,60,6.85714,2,4015,strategy,na,na,na,na,na,Abstract Strategy,na,na,na,na,na,7
18758,2017,Tempo,1974,2,6,20,30,6.075,2,7797,Racing,na,na,na,na,na,Betting and Bluffing, Hand Management,na,na,na,na,20
18759,2018,Tango,1991,2,6,15,15,3.06667,1,3774,card,na,na,na,na,na,Grid Movement,na,na,na,na,na,15
18760,2019,Talking Stones,1997,3,8,30,30,5.93182,1,4469,Party Game,na,na,na,na,na,Party Game,na,na,na,na,na,22
18761,2020,Steinbeisser,1999,2,6,10,10,5.5,0,4488,Schmidt Spiele,na,na,na,na,na,Schmidt Spiele,na,na,na,na,na,11
18762,2021,Spirit,1990,3,6,45,45,5.21053,0,4688,card, Fantasy,na,na,na,na,Hand Management,na,na,na,na,na,19
18763,2026,Um Kopf und Kragen,1996,3,7,30,30,5.19808,1,5503,card, Dice,na,na,na,na,Betting and Bluffing,na,na,na,na,na,26
18764,2027,Der Schatz des Pharaos,1996,2,6,30,30,5.80769,1,6567,Ancient, card,na,na,na,na,Ancient, Card Game,na,na,na,na,26
18765,2028,Sokrates,1994,2,4,20,20,5.16538,1.5,6770,card,na,na,na,na,na,Set Collection,na,na,na,na,na,26
18766,2029,Top Secret,1995,2,6,20,20,3.40741,1,7593,Bluffing, card,na,na,na,na,Simultaneous Action Selection,na,na,na,na,na,27
18767,2032,Now You See It,1975,3,4,60,60,6.35556,0,5982,Adaptation, Word Game,na,na,na,na,Movies / TV / Radio theme, Word Game,na,na,na,na,9
18768,2034,Eye Guess,1966,3,5,60,60,5.825,1,5895,Memory, Adaptation, Trivia,na,na,na,Memory, Movies / TV / Radio theme, Trivia,na,na,na,16
18769,2035,The Joker's Wild,1973,3,6,30,30,5.265,1,11068,Adaptation, Trivia,na,na,na,na,Movies / TV / Radio theme, Trivia,na,na,na,na,20
18770,2039,Barrier,1975,2,2,20,20,4.59091,0,8175,strategy,na,na,na,na,na,Tile Placement,na,na,na,na,na,11
18771,2041,They're at the Post,1975,1,40,60,60,6.35417,2,12071,Racing, Sports,na,na,na,na,Betting and Bluffing,na,na,na,na,na,24
18772,2045,Nomad,2001,2,5,120,120,6.0625,3,12030,Civilization, Exploration, Farming, Fighting, Political, Prehistoric,Team-Based Game, Trading,na,na,na,na,16
18773,2046,Blue Stones,1987,2,4,120,120,6.03571,0,11728,Fantasy, War,na,na,na,na,Hexagon Grid, Variable Player Powers,na,na,na,na,14
18774,2048,Starships,1980,2,4,45,45,6.0625,1.3333,12763,card, Childrens Game, Sci_Fi,na,na,na,Set Collection, Tile Placement,na,na,na,na,20
18775,2050,Life & Death & An American Chainsaw,1987,1,2,90,90,6.43421,1.5,12217,Expansion for Base-game,na,na,na,na,na,Campaign / Battle Card Driven,na,na,na,na,na,38
18776,2053,The New Dungeon  Miniatures and Game Supplement,1989,1,6,45,45,6.58942,2,31088,Dice, Expansion for Base-game, Exploration, Fantasy, Fighting, Miniatures,Role Playing, Roll / Spin and Move, Variable Player Powers,na,na,na,52
18777,2054,Interaction,1978,1,2,20,20,5.13636,2,6068,strategy,na,na,na,na,na,Abstract Strategy,na,na,na,na,na,22
18778,2056,Courier,1976,2,2,20,20,0,0,5680,strategy,na,na,na,na,na,Secret Unit Deployment,na,na,na,na,na,0
18779,2057,Starship Command II,1995,2,10,45,45,6.80435,2.5,12736,Aviation, card, Expansion for Base-game, Sci_Fi,na,na,Simultaneous Action Selection,na,na,na,na,na,23
18780,2058,Civilization West Extension Map,1986,2,7,360,360,7.82587,3.2361,63518,Ancient, Civilization, Economic, Expansion for Base-game, Negotiation,na,Area Movement, Commodity Speculation, Set Collection, Trading,na,na,760
18781,2059,Airline,1985,1,6,90,90,3.97222,1,8999,Aviation, Transportation,na,na,na,na,Pick-up and Deliver, Roll / Spin and Move,na,na,na,na,18
18782,2062,Deal Me In,1988,2,4,45,45,6.25,0,6254,card,na,na,na,na,na,Set Collection, Tile Placement,na,na,na,na,16
18783,2064,Neues aus dem Wichtelwald,1999,3,5,45,45,5.22857,1.6667,5252,card, Expansion for Base-game, Fantasy,na,na,na,Set Collection,na,na,na,na,na,21
18784,2067,Double,1996,2,6,30,30,5.65385,1.5,10197,card,na,na,na,na,na,Trick-taking,na,na,na,na,na,26
18785,2071,B\u00fcro Crazy,1997,3,5,30,30,4.705,1.5,5885,card,na,na,na,na,na,Simultaneous Action Selection,na,na,na,na,na,20
18786,2084,Sherlock Holmes  The Game of the Great Detective,1956,3,5,90,90,5.8,1,8036,Deduction, murder_mystery, Adaptation,na,na,na,Roll / Spin and Move,na,na,na,na,na,5
18787,2107,The Guru's Famous Baseball Game,2001,1,32,30,30,5.5,0,5766,strategy, Dice, Fantasy, Sports,na,na,Trading, Variable Player Powers,na,na,na,na,4
18788,2108,Starwars,1977,2,2,30,60,5.63158,1.3333,12311,Sci_Fi,na,na,na,na,na,Area Movement, Dice Rolling, Set Collection,na,na,na,19
18789,2109,The Game of Good Cooking,1989,2,4,60,60,5.39375,1.3333,5773,Racing,na,na,na,na,na,Roll / Spin and Move,na,na,na,na,na,16
18790,2117,Scoop the Cash,1985,2,25,30,30,2,0,2984,card, Dice, Party Game,na,na,na,Betting and Bluffing, Roll / Spin and Move,na,na,na,na,2
18791,2118,Illya Kuryakin,1966,2,4,30,30,5.28571,0,5140,card, Adaptation, secret_agent,na,na,na,Set Collection,na,na,na,na,na,7
18792,2124,Total Depth,1984,2,5,120,120,6.2,3,8563,Economic, industry_manuf, Negotiation,na,na,na,Betting and Bluffing, Commodity Speculation, Roll / Spin and Move, Team-Based Game,na,na,15
18793,2141,Time Vectors,1986,2,2,30,30,3.66667,0,5287,strategy,na,na,na,na,na,Pattern Building, Pattern Recognition,na,na,na,na,3
18794,2142,GRYB Game System,2001,2,2,30,30,5.5,3,5483,strategy, Game System,na,na,na,na,Roll / Spin and Move,na,na,na,na,na,10
18795,2145,Domination,1986,2,4,60,180,6.48214,3.5,9662,strategy, Medieval,na,na,na,na,Abstract Strategy, Medieval,na,na,na,na,28
18796,2152,Dingus,1999,2,6,30,30,4.46154,1,4458,card,na,na,na,na,na,Set Collection,na,na,na,na,na,13
18797,2155,Agent of Change,1991,2,4,90,90,4.9,3,12703,Trains,na,na,na,na,na,Crayon Rail System,na,na,na,na,na,10
18798,2158,Finger-Flick Sports  Baseball,1996,2,2,20,20,5.22857,1,5338,Dexterity, Sports,na,na,na,na,Action / Dexterity, Sports,na,na,na,na,7
18799,2167,Jackpot Payoff,1979,2,4,45,45,4.75,0,5751,card,na,na,na,na,na,Betting and Bluffing, Set Collection,na,na,na,na,4
18800,2177,Schickeria,1964,3,6,30,30,4.325,1,9612,card,na,na,na,na,na,Trick-taking,na,na,na,na,na,20
18801,2182,Knallbonbon,1991,4,6,10,10,4.33333,0,3536,Bluffing, card,na,na,na,na,Push Your Luck,na,na,na,na,na,3
18802,2185,Ritter Kunibert's 12er Stich,1987,3,6,15,15,4.25,1,7109,card,na,na,na,na,na,Trick-taking,na,na,na,na,na,24
18803,2187,Drachenlachen,1984,2,6,30,30,5.25,0,4707,Fantasy,na,na,na,na,na,Roll / Spin and Move,na,na,na,na,na,12
18804,2188,Hexenstich,1994,2,6,10,10,6.26739,1,6090,card, Fantasy,na,na,na,na,Trick-taking,na,na,na,na,na,23
18805,2191,Hyano,2001,2,5,20,20,5.28667,1,6886,Bluffing, card,na,na,na,na,Bluffing, Card Game,na,na,na,na,15
18806,2202,Swahili,1968,2,4,30,30,5.92727,1,14242,strategy,na,na,na,na,na,Mancala,na,na,na,na,na,22
18807,2204,Kill Doctor Lucky  Craigdarroch,1998,3,10,60,60,6.36746,1.5455,25432,Bluffing, Expansion for Base-game, murder_mystery,na,na,na,Bluffing, Expansion for Base-game, Murder/Mystery,na,na,na,169
18808,2208,The LogiQuad Game System,1969,2,2,30,30,6.5,0,4258,strategy,na,na,na,na,na,Abstract Strategy,na,na,na,na,na,2
18809,2219,Forte,1981,2,2,30,30,5.6,0,3903,strategy,na,na,na,na,na,Abstract Strategy,na,na,na,na,na,5
18810,2220,Ion Glory,1994,2,6,60,60,2,0,3807,card, Economic, Exploration, Political, Sci_Fi, War,Variable Player Powers,na,na,na,na,na,1
18811,2221,Clobber!,1977,2,6,30,30,3.7,1,4510,strategy, Childrens Game,na,na,na,na,Roll / Spin and Move,na,na,na,na,na,2
18812,2222,Top That!,1987,2,6,30,30,5.5,1,6929,card,na,na,na,na,na,Card Game,na,na,na,na,na,11
18813,2227,The Flea Market Game,1986,3,6,60,60,6.66667,0,9929,Negotiation,na,na,na,na,na,Auction/Bidding, Roll / Spin and Move, Set Collection, Trading,na,na,6
18814,2231,Watch,1967,2,2,10,10,5.91304,2,8069,strategy,na,na,na,na,na,Area Movement,na,na,na,na,na,23
18815,2233,Colliding Circles,1995,2,2,45,45,6.8,2,5159,strategy,na,na,na,na,na,Abstract Strategy,na,na,na,na,na,15
18816,2237,Flying Circus,2001,2,6,20,20,5.40625,1.25,8905,Aviation, card,na,na,na,na,Trick-taking,na,na,na,na,na,16
18817,2239,4X4,2000,2,4,20,20,4.928,1,7001,card,na,na,na,na,na,Set Collection,na,na,na,na,na,25
18818,2241,Sex Maniacs,1990,2,8,10,10,2.75,0,18496,Adult, Trivia,na,na,na,na,Mature / Adult, Trivia,na,na,na,na,4
18819,2255,Kartenschach,2000,2,2,60,60,6.62,2,10280,strategy, card,na,na,na,na,Grid Movement,na,na,na,na,na,20
18820,2257,Weekend in Vegas,1974,2,6,180,180,5,1,5842,Bluffing, card, Dice, Racing,na,na,Betting and Bluffing,na,na,na,na,na,10
18821,2261,Battles of Trenton and Princeton,1976,2,2,360,360,7,0,7062,Age of Reason, American Revolutionary War, War,na,na,na,Age of Reason, American Revolutionary War, Wargame,na,na,na,7
18822,2267,Space  The Game,1995,2,4,120,120,0,0,6516,strategy, Real-time, Sci_Fi, War,na,na,Cooperative Game, Modular Board, Simultaneous Action Selection, Variable Player Powers,na,na,0
18823,2269,Oil Power,1982,0,2,60,60,6.11765,1.5,15475,Deduction, Exploration, industry_manuf,na,na,na,Commodity Speculation, Roll / Spin and Move,na,na,na,na,17
18824,2270,Borderlands,1995,2,4,90,90,6,3,19847,card, Fantasy,na,na,na,na,Modular Board, Trading,na,na,na,na,7
18825,2273,Hopfen & Malz,1992,3,6,30,30,5.32353,0,5192,card, Economic,na,na,na,na,Auction/Bidding, Card Drafting,na,na,na,na,17
18826,2278,Transformation,1971,2,4,30,30,5.5,2,5912,strategy,na,na,na,na,na,Team-Based Game, Tile Placement,na,na,na,na,7
18827,2279,PowerTechnics,1992,2,6,120,120,3.75,0,5977,Economic, Political,na,na,na,na,Auction/Bidding, Commodity Speculation, Roll / Spin and Move, Stock Holding, Trading,na,16
18828,2282,Blood Bowl Companion,1990,2,2,180,180,6.66926,2.88,20684,Expansion for Base-game, Fantasy, Fighting, Miniatures, Sports,na,Role Playing, Variable Player Powers,na,na,na,na,283
18829,2286,Blood Bowl Star Players,1989,2,2,180,180,6.6593,2.7857,25439,Expansion for Base-game, Fantasy, Fighting, Sports,na,na,Variable Player Powers,na,na,na,na,na,312
18830,2287,Blood Bowl (Second Edition)  Elves,1989,2,2,180,180,6.54467,2.5769,42546,Expansion for Base-game, Fantasy, Fighting, Sports,na,na,Tile Placement, Variable Player Powers,na,na,na,na,291
18831,2292,Rubicon,1990,3,6,45,45,2.4,0,16399,strategy, Economic, Negotiation,na,na,na,Roll / Spin and Move, Trading,na,na,na,na,5
18832,2293,Hei\u00dfe Karten,1975,2,6,20,20,4.875,1,2966,card,na,na,na,na,na,Trick-taking,na,na,na,na,na,4
18833,2302,Bill Oddie's Great Bird Race Game,1988,2,6,240,240,6.66667,0,6985,Animals, Educational,na,na,na,na,Roll / Spin and Move, Set Collection,na,na,na,na,3
18834,2305,Murder Mystery Party  Revenge in Rome,1985,6,6,60,60,5,2,7072,Deduction, murder_mystery, Party Game,na,na,na,Role Playing, Storytelling,na,na,na,na,6
18835,2309,Noah's Ark,1986,2,4,45,45,4.6,2,6179,War,na,na,na,na,na,Modular Board, Pick-up and Deliver, Set Collection,na,na,na,5
18836,2321,Letres,1998,1,4,20,20,5.23077,1.5,6676,card, Word Game,na,na,na,na,Set Collection, Trick-taking,na,na,na,na,26
18837,2325,Monotony,1984,2,4,90,90,5,2,6981,Economic,na,na,na,na,na,Roll / Spin and Move,na,na,na,na,na,2
18838,2328,Starunner,1985,1,6,120,120,5,3,4455,Economic, Sci_Fi,na,na,na,na,Action Points, Pick-up and Deliver, Role Playing, Set Collection, Variable Player Powers,na,3
18839,2329,Energy Quest,1977,2,6,120,120,6,0,6128,Economic, industry_manuf,na,na,na,na,Roll / Spin and Move,na,na,na,na,na,5
18840,2330,Medical Monopoly,1979,2,4,90,90,3.875,1,11958,Economic, Medical, Trivia,na,na,na,Roll / Spin and Move,na,na,na,na,na,8
18841,2333,Hacker,1991,3,6,180,180,5.18518,0,8572,Bluffing, Deduction, Puzzle,na,na,na,Simultaneous Action Selection,na,na,na,na,na,27
18842,2345,Groo  The Game \u2013 Expansion Set,1997,2,6,45,45,6.69028,1.5312,18807,card, City Building, Adaptation, Expansion for Base-game, Fantasy,na,Dice Rolling, Take That,na,na,na,na,395
18843,2351,Mbogo,1966,2,6,20,20,5.5,2,3550,card, Childrens Game,na,na,na,na,Set Collection,na,na,na,na,na,2
18844,2355,Last Frontier  The Artifact,2001,3,8,120,120,7.27778,4,49691,Adventure, Deduction, Expansion for Base-game, Negotiation, Sci_Fi,na,Grid Movement, Role Playing, Secret Unit Deployment, Simulation, Simultaneous Action Selection, Variable Player Powers,27
18845,2359,Schatztaucher,1992,3,6,45,45,5.4,2,3620,Adventure, War,na,na,na,na,Pick-up and Deliver,na,na,na,na,na,10
18846,2360,Sekt oder Selters,1992,2,4,30,30,6.21111,1,4179,Dice,na,na,na,na,na,Roll / Spin and Move,na,na,na,na,na,9
18847,2365,Sunset Blvd.,1992,2,6,30,30,5.63684,1,5887,card,na,na,na,na,na,Roll / Spin and Move,na,na,na,na,na,19
18848,2374,Yukk!,2001,3,5,10,10,5,1,7349,card, Childrens Game, Print & Play,na,na,na,Hand Management,na,na,na,na,na,10
18849,2377,Kommissar,1966,2,4,60,60,5.44118,1,12400,Selchow & Righter,na,na,na,na,na,Roll / Spin and Move,na,na,na,na,na,17
18850,2382,Sea-Fleet,1991,2,2,25,25,3.6,0,5400,strategy, War,na,na,na,na,Roll / Spin and Move,na,na,na,na,na,5
18851,2411,Mount Everest,1980,1,4,20,20,2,0,5096,strategy, Maze, Sports,na,na,na,Tile Placement,na,na,na,na,na,1
18852,2419,Test Drive,1986,3,6,60,60,4.75,2.5,3316,Bluffing, Negotiation, Transportation,na,na,na,Auction/Bidding,na,na,na,na,na,10
18853,2420,The Great American Auction Card Game,1975,2,5,30,30,5.6,1,8348,card,na,na,na,na,na,Auction/Bidding,na,na,na,na,na,15
18854,2424,Boogey Man,1987,3,5,30,30,5.33333,0,13754,Dexterity, card, Childrens Game, Horror, Party Game,na,Simultaneous Action Selection,na,na,na,na,na,3
18855,2429,Barnabas Collins Dark Shadows Game,1969,2,4,60,60,4.64444,1.75,32859,Childrens Game, Horror, Adaptation,na,na,na,Roll / Spin and Move, Set Collection,na,na,na,na,27
18856,2437,The Barons of Fyn,1994,2,6,60,60,5.34783,2.5,11397,card, Medieval, Print & Play,na,na,na,Modular Board, Tile Placement,na,na,na,na,23
18857,2438,LNL  Laplace,1994,2,2,90,90,5.4625,0,8811,Print & Play, Sci_Fi, War,na,na,na,Action Points, Hexagon Grid,na,na,na,na,8
18858,2439,Queen Victoria's Navy,1996,1,2,90,90,6.85,2,13922,War, War,na,na,na,na,Action Points, Hexagon Grid,na,na,na,na,10
18859,2441,Bones,1994,2,2,30,30,5.2,1.3333,14042,strategy, Print & Play,na,na,na,na,Tile Placement,na,na,na,na,na,14
18860,2445,Chaseback,1962,2,2,30,30,4.83333,1,5778,strategy,na,na,na,na,na,Abstract Strategy,na,na,na,na,na,6
18861,2449,Lord of the Rings  Friends & Foes,2001,2,5,90,90,7.26931,2.7848,168499,Adventure, Expansion for Base-game, Fantasy, Adaptation,na,na,Cooperative Game, Dice Rolling, Hand Management, Modular Board, Variable Player Powers,na,2631
18862,2450,Deuce,1985,2,6,20,20,5.02069,1,9324,card, Math,na,na,na,na,Card Drafting, Pattern Recognition,na,na,na,na,29
18863,2451,Slasher Flick,1983,2,2,30,30,5.92857,1,7072,Horror,na,na,na,na,na,Role Playing, Secret Unit Deployment, Variable Player Powers,na,na,na,7
18864,2694,Donnerwetter,1991,2,4,30,30,6.96897,4.3333,24729,Bluffing, card,na,na,na,na,Betting and Bluffing, Tile Placement,na,na,na,na,24
18865,2459,Planes & Trains,2001,1,5,360,360,6,1,6105,City Building, Civilization, Economic, Expansion for Base-game, industry_manuf, Transportation,Grid Movement, Line Drawing, Modular Board, Network and Route Building, Pick-up and Deliver, Tile Placement,29
18866,2465,Not Necessarily Rum,1988,2,6,120,120,5.21429,1.4286,7805,card,na,na,na,na,na,Card Game,na,na,na,na,na,4
